Protein Replicate Feature  Intensity  Obs_Intensity  MNAR_threshold   MAR  MNAR
    EGF         0       0  24.559379      24.559379        0.001086 False False
    EGF         0       1  22.957688      22.957688        0.002060 False False
    EGF         0       2  20.900272      20.900272        0.004678 False False
    EGF         0       3  23.760124      23.760124        0.001495 False False
    EGF         0       4  24.564898      24.564898        0.001084 False False
    EGF         0       5  24.230398      24.230398        0.001239 False False
    EGF         0       6  21.975103      21.975103        0.003049 False False
    EGF         0       7  20.915314      20.915314        0.004650 False False
    EGF         0       8  22.574520      22.574520        0.002400 False False
    EGF         0       9  23.580920      23.580920        0.001606 False False
    EGF         0      10  22.729305      22.729305        0.002256 False False
    EGF         0      11  24.216474      24.216474        0.001246 False False
    EGF         0      12  24.789308            NaN        0.000991  True False
    EGF         0      13  24.345741      24.345741        0.001183 False False
    EGF         0      14  22.185691      22.185691        0.002803 False False
    EGF         0      15  22.916405      22.916405        0.002094 False False
    EGF         0      16  22.330344      22.330344        0.002646 False False
    EGF         1       0  17.851074      17.851074        0.015667 False False
    EGF         1       1  16.249382      16.249382        0.029319 False False
    EGF         1       2  14.191967      14.191967        0.064357 False False
    EGF         1       3  17.051818      17.051818        0.021442 False False
    EGF         1       4  17.856593      17.856593        0.015633 False False
    EGF         1       5  17.522092      17.522092        0.017831 False False
    EGF         1       6  15.266798      15.266798        0.042831 False False
    EGF         1       7  14.207008      14.207008        0.063996 False False
    EGF         1       8  15.866215      15.866215        0.034010 False False
    EGF         1       9  16.872615      16.872615        0.022999 False False
    EGF         1      10  16.021000      16.021000        0.032034 False False
    EGF         1      11  17.508168      17.508168        0.017929 False False
    EGF         1      12  18.081003      18.081003        0.014310 False False
    EGF         1      13  17.637436      17.637436        0.017041 False False
    EGF         1      14  15.477386            NaN        0.039508  True False
    EGF         1      15  16.208099            NaN        0.029793  True False
    EGF         1      16  15.622039      15.622039        0.037369 False False
    EGF         2       0  18.101828      18.101828        0.014193 False False
    EGF         2       1  16.500136      16.500136        0.026596 False False
    EGF         2       2  14.442721            NaN        0.058575 False  True
    EGF         2       3  17.302572      17.302572        0.019435 False False
    EGF         2       4  18.107347      18.107347        0.014162 False False
    EGF         2       5  17.772846      17.772846        0.016157 False False
    EGF         2       6  15.517552            NaN        0.038902 False  True
    EGF         2       7  14.457762            NaN        0.058244  True False
    EGF         2       8  16.116969      16.116969        0.030865 False False
    EGF         2       9  17.123369      17.123369        0.020850 False False
    EGF         2      10  16.271754      16.271754        0.029066 False False
    EGF         2      11  17.758922      17.758922        0.016245 False False
    EGF         2      12  18.331757      18.331757        0.012962 False False
    EGF         2      13  17.888190      17.888190        0.015439 False False
    EGF         2      14  15.728140      15.728140        0.035872 False False
    EGF         2      15  16.458853      16.458853        0.027026 False False
    EGF         2      16  15.872793      15.872793        0.033924 False False
    EGF         3       0  16.467437      16.467437        0.026936 False False
    EGF         3       1  14.865746      14.865746        0.049912 False False
    EGF         3       2  12.808330      12.808330        0.106850 False False
    EGF         3       3  15.668182      15.668182        0.036711 False False
    EGF         3       4  16.472956      16.472956        0.026878 False False
    EGF         3       5  16.138456      16.138456        0.030609 False False
    EGF         3       6  13.883161            NaN        0.072207 False  True
    EGF         3       7  12.823372            NaN        0.106277 False  True
    EGF         3       8  14.482578      14.482578        0.057702 False False
    EGF         3       9  15.488979      15.488979        0.039332 False False
    EGF         3      10  14.637363      14.637363        0.054426 False False
    EGF         3      11  16.124532      16.124532        0.030774 False False
    EGF         3      12  16.697366      16.697366        0.024628 False False
    EGF         3      13  16.253800      16.253800        0.029269 False False
    EGF         3      14  14.093749            NaN        0.066764  True False
    EGF         3      15  14.824463      14.824463        0.050701 False False
    EGF         3      16  14.238402      14.238402        0.063248 False False
    EGF         4       0  22.282566      22.282566        0.002697 False False
