Protein,Replicate,Feature,Intensity,Obs_Intensity,MNAR_threshold,MAR,MNAR
EGF,0,0,25.112969098294585,25.112969098294585,0.0008708342889481093,False,False
EGF,0,1,23.506691156488998,23.506691156488998,0.001654374632341773,False,False
EGF,0,2,25.03888916070901,25.03888916070901,0.0008970014599721571,False,False
EGF,1,0,21.021283685493263,21.021283685493263,0.004458326672685482,False,False
EGF,1,1,19.415005743687676,19.415005743687676,0.008442467925427433,False,False
EGF,1,2,20.94720374790769,20.94720374790769,0.004591796805345149,False,False
EGF,2,0,22.75702601270881,22.75702601270881,0.002231582105126416,False,False
EGF,2,1,21.150748070903223,21.150748070903223,0.004234277802552361,False,False
EGF,2,2,22.682946075123237,22.682946075123237,0.0022985434959996143,False,False
EGF,3,0,26.543491657995965,26.543491657995965,0.0004915787719106896,False,False
EGF,3,1,24.937213716190378,24.937213716190378,0.0009341998943318056,False,False
EGF,3,2,26.469411720410392,26.469411720410392,0.0005063556995486587,False,False
EGF,4,0,25.423486030841495,,0.0007691966457443945,True,False
EGF,4,1,23.81720808903591,23.81720808903591,0.0014614214427419803,False,False
EGF,4,2,25.349406093255922,25.349406093255922,0.0007923121907818691,False,False
EGF,5,0,16.88897842076236,16.88897842076236,0.022852181218933048,False,False
EGF,5,1,15.282700478956773,15.282700478956773,0.042570922762367944,False,False
EGF,5,2,16.814898483176787,16.814898483176787,0.02352330176233234,False,False
EGF,6,0,22.67107731296836,22.67107731296836,0.0023094565251649247,False,False
EGF,6,1,21.064799371162774,21.064799371162774,0.004381732395155801,False,False
EGF,6,2,22.596997375382788,22.596997375382788,0.002378749063768861,False,False
EGF,7,0,19.3667404354985,19.3667404354985,0.00860562652168931,False,False
EGF,7,1,17.760462493692913,17.760462493692913,0.016235521385169968,False,False
EGF,7,2,19.292660497912927,19.292660497912927,0.008862150250969642,False,False
EGF,8,0,19.51115550501092,19.51115550501092,0.008126524587879557,False,False
EGF,8,1,17.904877563205332,17.904877563205332,0.015338211446682024,False,False
EGF,8,2,19.437075567425346,19.437075567425346,0.008368887402599992,False,False
EGF,9,0,21.05260756620671,21.05260756620671,0.004403058758234067,False,False
EGF,9,1,19.446329624401123,19.446329624401123,0.008338224030767248,False,False
EGF,9,2,20.978527628621137,20.978527628621137,0.004534881857259131,False,False
EGF,10,0,20.252942773874228,20.252942773874228,0.006052715786848228,False,False
EGF,10,1,18.64666483206864,18.64666483206864,0.011445287319382566,False,False
EGF,10,2,20.178862836288655,20.178862836288655,0.0062336187046527014,False,False
EGF,11,0,24.183632581280516,24.183632581280516,0.0012624307361372299,False,False
EGF,11,1,22.57735463947493,22.57735463947493,0.002397467751773846,False,False
EGF,11,2,24.109552643694943,24.109552643694943,0.0013003494367909393,False,False
EGF,12,0,22.103925235832573,22.103925235832573,0.0028958686414155364,False,False
EGF,12,1,20.497647294026986,20.497647294026986,0.005491436022965994,False,False
EGF,12,2,22.029845298247,22.029845298247,0.002982703187888181,False,False
EGF,13,0,20.18583710987008,20.18583710987008,0.0062163609054904905,False,False
EGF,13,1,18.579559168064492,,0.011753005483688475,True,False
EGF,13,2,20.111757172284506,20.111757172284506,0.006402123327466735,False,False
EGF,14,0,21.15240175862787,21.15240175862787,0.004231489707341431,False,False
EGF,14,1,19.546123816822284,19.546123816822284,0.00801455217324309,False,False
EGF,14,2,21.078321821042298,21.078321821042298,0.004358198688897459,False,False
EGF,15,0,20.821835042514394,20.821835042514394,0.004826795451752461,False,False
EGF,15,1,19.215557100708807,19.215557100708807,0.009137193170319137,False,False
EGF,15,2,20.74775510492882,20.74775510492882,0.004971241450918993,False,False
EGF,16,0,24.30304927986441,24.30304927986441,0.0012036170422440636,False,False
EGF,16,1,22.696771338058824,,0.002285896367382968,True,False
EGF,16,2,24.228969342278837,24.228969342278837,0.0012397713922430358,False,False
EGF,17,0,19.20533726909419,19.20533726909419,0.009174278470268893,False,False
EGF,17,1,17.599059327288604,17.599059327288604,0.01729955208712656,False,False
EGF,17,2,19.131257331508618,19.131257331508618,0.009447591518669026,False,False
EGF,18,0,20.760015165344296,20.760015165344296,0.004947042352070285,False,False
EGF,18,1,19.15373722353871,19.15373722353871,0.009363811897309608,False,False
EGF,18,2,20.685935227758723,20.685935227758723,0.005095068419509251,False,False
EGF,19,0,17.258524842486416,17.258524842486416,0.019774102281444203,False,False
EGF,19,1,15.652246900680831,15.652246900680831,0.036937224508630684,False,False
EGF,19,2,17.184444904900843,17.184444904900843,0.020356709329510756,False,False
EGF,20,0,12.161842612889355,,0.13415186559985076,False,True
EGF,20,1,10.555564671083769,,0.22754497630396608,False,True
EGF,20,2,12.087762675303782,12.087762675303782,0.13763123647171852,False,False
EGF,21,0,21.781667846712676,21.781667846712676,0.003292969486085933,False,False
EGF,21,1,20.17538990490709,20.17538990490709,0.006242230201661588,False,False
EGF,21,2,21.707587909127103,21.707587909127103,0.003391670862345186,False,False
EGF,22,0,22.41412065697011,22.41412065697011,0.002558816687386442,False,False
EGF,22,1,20.807842715164522,20.807842715164522,0.0048537549420243275,False,False
EGF,22,2,22.340040719384536,22.340040719384536,0.0026355712212952362,False,False
EGF,23,0,17.594316999172264,17.594316999172264,0.017331829990445892,False,False
EGF,23,1,15.988039057366679,15.988039057366679,0.03244532333662166,False,False
EGF,23,2,17.52023706158669,17.52023706158669,0.017843789927334368,False,False
EGF,24,0,26.630075932354416,26.630075932354416,0.00047485296999905704,False,False
EGF,24,1,25.02379799054883,25.02379799054883,0.0009024276552953592,False,False
EGF,24,2,26.555995994768843,26.555995994768843,0.0004891273637025898,False,False
EGF,25,0,15.457715036595296,15.457715036595296,0.039807210799450356,False,False
EGF,25,1,13.851437094789711,13.851437094789711,0.07306223346129831,False,False
EGF,25,2,15.383635099009725,15.383635099009725,0.040955394942515745,False,False
EGF,26,0,19.95808761229593,19.95808761229593,0.006805232086374298,False,False
EGF,26,1,18.351809670490344,18.351809670490344,0.012859572024920373,False,False
EGF,26,2,19.884007674710357,19.884007674710357,0.007008467542106444,False,False
EGF,27,0,19.259260510314093,19.259260510314093,0.008980272585444184,False,False
EGF,27,1,17.652982568508506,17.652982568508506,0.01693666037887596,False,False
EGF,27,2,19.18518057272852,19.18518057272852,0.009247859904248876,False,False
EGF,28,0,24.419149703466964,24.419149703466964,0.0011490616758105866,False,False
EGF,28,1,22.812871761661377,22.812871761661377,0.002182392597669035,False,False
EGF,28,2,24.34506976588139,24.34506976588139,0.001183579229036207,False,False
EGF,29,0,24.228888370092445,24.228888370092445,0.0012398114979082426,False,False
EGF,29,1,22.62261042828686,22.62261042828686,0.002354559760019577,False,False
EGF,29,2,24.154808432506872,24.154808432506872,0.0012770516699130278,False,False
EGF,30,0,20.28565433748234,20.28565433748234,0.0059745042340754425,False,False
EGF,30,1,18.679376395676755,18.679376395676755,0.01129818648597211,False,False
EGF,30,2,20.21157439989677,20.21157439989677,0.006153084044315922,False,False
EGF,31,0,20.95529961919811,20.95529961919811,0.00457701896731568,False,False
EGF,31,1,19.349021677392525,,0.008666305124658647,True,False
EGF,31,2,20.88121968161254,20.88121968161254,0.004714025597864054,False,False
EGF,32,0,17.157454817501254,17.157454817501254,0.02057312580120726,False,False
EGF,32,1,15.551176875695667,15.551176875695667,0.03840259793341313,False,False
EGF,32,2,17.08337487991568,17.08337487991568,0.0211787659443127,False,False
EGF,33,0,13.87842265571981,,0.07233456436171698,True,False
EGF,33,1,12.272144713914225,,0.1291092171349523,True,False
EGF,33,2,13.804342718134238,13.804342718134238,0.07434830928465015,False,False
EGF,34,0,18.777075612413135,18.777075612413135,0.010869879825059953,False,False
EGF,34,1,17.17079767060755,17.17079767060755,0.020465857815363652,False,False
EGF,34,2,18.702995674827562,18.702995674827562,0.011193136279035891,False,False
EGF,35,0,20.289858967703534,20.289858967703534,0.005964524329292804,False,False
EGF,35,1,18.683581025897947,18.683581025897947,0.011279414727588682,False,False
EGF,35,2,20.21577903011796,20.21577903011796,0.006142807680469559,False,False
EGF,36,0,23.511684102574755,23.511684102574755,0.0016510792980847018,False,False
EGF,36,1,21.905406160769168,21.905406160769168,0.0031344491310404178,False,False
EGF,36,2,23.43760416498918,23.43760416498918,0.001700651671128472,False,False
EGF,37,0,23.427951606744827,23.427951606744827,0.0017072193877073097,False,False
EGF,37,1,21.82167366493924,21.82167366493924,0.003240863112009169,False,False
