Protein Replicate Feature  Intensity  Obs_Intensity  MNAR_threshold   MAR  MNAR
    EGF         0       0  23.194556            NaN        0.382445  True False
    EGF         0       1  24.081023      24.081023        0.351568 False False
    EGF         0       2  23.022711      23.022711        0.388551 False False
    EGF         0       3  22.816947      22.816947        0.395909 False False
    EGF         0       4  23.900274      23.900274        0.357773 False False
    EGF         0       5  24.419264            NaN        0.340091  True False
    EGF         0       6  21.617977      21.617977        0.439622 False False
    EGF         0       7  22.348517      22.348517        0.412830 False False
    EGF         0       8  23.646736      23.646736        0.366558 False False
    EGF         0       9  22.467707            NaN        0.408503  True False
    EGF         0      10  23.616227      23.616227        0.367622 False False
    EGF         0      11  25.265734      25.265734        0.312199 False False
    EGF         0      12  24.832567            NaN        0.326318  True  True
    EGF         0      13  23.602843            NaN        0.368088  True  True
    EGF         0      14  21.565359            NaN        0.441567 False  True
    EGF         0      15  24.583604      24.583604        0.334580 False False
    EGF         1       0  19.102870            NaN        0.533592 False  True
    EGF         1       1  19.989338            NaN        0.500400 False  True
    EGF         1       2  18.931025            NaN        0.540001 False  True
    EGF         1       3  18.725261            NaN        0.547658 False  True
    EGF         1       4  19.808588            NaN        0.507177 False  True
    EGF         1       5  20.327579            NaN        0.487718 False  True
    EGF         1       6  17.526292      17.526292        0.591714 False False
    EGF         1       7  18.256832            NaN        0.564999  True  True
    EGF         1       8  19.555051            NaN        0.516679 False  True
    EGF         1       9  18.376021            NaN        0.560600 False  True
    EGF         1      10  19.524541      19.524541        0.517822 False False
    EGF         1      11  21.174048      21.174048        0.456087 False False
    EGF         1      12  20.740881            NaN        0.472246 False  True
    EGF         1      13  19.511158            NaN        0.518323 False  True
    EGF         1      14  17.473674            NaN        0.593620 False  True
    EGF         1      15  20.491919      20.491919        0.481561 False False
    EGF         2       0  20.838613      20.838613        0.468593 False False
    EGF         2       1  21.725080      21.725080        0.435668 False False
    EGF         2       2  20.666768      20.666768        0.475017 False False
    EGF         2       3  20.461004      20.461004        0.482719 False False
    EGF         2       4  21.544331      21.544331        0.442345 False False
    EGF         2       5  22.063321            NaN        0.423237 False  True
    EGF         2       6  19.262034      19.262034        0.527646 False False
    EGF         2       7  19.992574      19.992574        0.500278 False False
    EGF         2       8  21.290793            NaN        0.451746 False  True
    EGF         2       9  20.111764            NaN        0.495809 False  True
    EGF         2      10  21.260284            NaN        0.452880  True  True
    EGF         2      11  22.909791            NaN        0.392583 False  True
    EGF         2      12  22.476623      22.476623        0.408180 False False
    EGF         2      13  21.246900      21.246900        0.453377 False False
    EGF         2      14  19.209416      19.209416        0.529612 False False
    EGF         2      15  22.227661      22.227661        0.417231 False False
    EGF         3       0  24.625078      24.625078        0.333197 False False
    EGF         3       1  25.511546      25.511546        0.304337 False False
    EGF         3       2  24.453233      24.453233        0.338948 False False
    EGF         3       3  24.247469      24.247469        0.345898 False False
    EGF         3       4  25.330796      25.330796        0.310107 False False
    EGF         3       5  25.849787            NaN        0.293703  True  True
    EGF         3       6  23.048500            NaN        0.387632 False  True
    EGF         3       7  23.779040            NaN        0.361963 False  True
    EGF         3       8  25.077259      25.077259        0.318301 False False
    EGF         3       9  23.898229      23.898229        0.357844 False False
    EGF         3      10  25.046749            NaN        0.319295 False  True
    EGF         3      11  26.696256      26.696256        0.268070 False False
    EGF         3      12  26.263089      26.263089        0.281009 False False
    EGF         3      13  25.033366      25.033366        0.319732 False False
    EGF         3      14  22.995882            NaN        0.389508  True  True
    EGF         3      15  26.014127      26.014127        0.288615 False False
    EGF         4       0  23.505073      23.505073        0.371506 False False
    EGF         4       1  24.391540      24.391540        0.341025 False False
    EGF         4       2  23.333228            NaN        0.377544 False  True
    EGF         4       3  23.127464      23.127464        0.384825 False False
    EGF         4       4  24.210791            NaN        0.347144 False  True
    EGF         4       5  24.729781      24.729781        0.329717 False False
    EGF         4       6  21.928494      21.928494        0.428182 False False
    EGF         4       7  22.659034      22.659034        0.401587 False False
    EGF         4       8  23.957253      23.957253        0.355812 False False
    EGF         4       9  22.778224      22.778224        0.397299 False False
    EGF         4      10  23.926744            NaN        0.356862 False  True
    EGF         4      11  25.576251      25.576251        0.302286 False False
    EGF         4      12  25.143083      25.143083        0.316163 False False
    EGF         4      13  23.913360            NaN        0.357323 False  True
    EGF         4      14  21.875876            NaN        0.430115 False  True
    EGF         4      15  24.894121            NaN        0.324292 False  True
    EGF         5       0  14.970565            NaN        0.680140 False  True
    EGF         5       1  15.857032      15.857032        0.650547 False False
    EGF         5       2  14.798720            NaN        0.685721  True  True
    EGF         5       3  14.592956            NaN        0.692335 False  True
    EGF         5       4  15.676283            NaN        0.656685 False  True
    EGF         5       5  16.195274            NaN        0.638927 False  True
    EGF         5       6  13.393986      13.393986        0.729266 False False
    EGF         5       7  14.124527            NaN        0.707096 False  True
    EGF         5       8  15.422746      15.422746        0.665208 False False
    EGF         5       9  14.243716            NaN        0.703379 False  True
    EGF         5      10  15.392236            NaN        0.666226  True  True
    EGF         5      11  17.041743            NaN        0.609149 False  True
    EGF         5      12  16.608576            NaN        0.624505 False  True
    EGF         5      13  15.378852      15.378852        0.666672 False False
    EGF         5      14  13.341369            NaN        0.730822 False  True
    EGF         5      15  16.359613      16.359613        0.633221 False False
    EGF         6       0  20.752664      20.752664        0.471805 False False
    EGF         6       1  21.639131            NaN        0.438840 False  True
    EGF         6       2  20.580819            NaN        0.478233 False  True
    EGF         6       3  20.375055            NaN        0.485939  True False
    EGF         6       4  21.458382            NaN        0.445528 False  True
    EGF         6       5  21.977373      21.977373        0.426387 False False
    EGF         6       6  19.176085      19.176085        0.530858 False False
    EGF         6       7  19.906625            NaN        0.503501 False  True
    EGF         6       8  21.204845      21.204845        0.454941 False False
    EGF         6       9  20.025815      20.025815        0.499032 False False
    EGF         6      10  21.174335      21.174335        0.456076 False False
    EGF         6      11  22.823842            NaN        0.395661 False  True
    EGF         6      12  22.390675      22.390675        0.411298 False False
    EGF         6      13  21.160951            NaN        0.456574 False  True
    EGF         6      14  19.123467      19.123467        0.532823 False False
    EGF         6      15  22.141712            NaN        0.420369 False  True
    EGF         7       0  17.448327            NaN        0.594536 False  True
    EGF         7       1  18.334794      18.334794        0.562123 False False
    EGF         7       2  17.276482            NaN        0.600735 False  True
    EGF         7       3  17.070718            NaN        0.608114 False  True
    EGF         7       4  18.154045            NaN        0.568784 False  True
    EGF         7       5  18.673036      18.673036        0.549598 False False
    EGF         7       6  15.871748            NaN        0.650045  True  True
    EGF         7       7  16.602289      16.602289        0.624726 False False
    EGF         7       8  17.900508            NaN        0.578087 False  True
    EGF         7       9  16.721478            NaN        0.620525 False  True
    EGF         7      10  17.869998            NaN        0.579202 False  True
    EGF         7      11  19.519505            NaN        0.518011 False  True
    EGF         7      12  19.086338            NaN        0.534209 False  True
    EGF         7      13  17.856614      17.856614        0.579692 False False
    EGF         7      14  15.819131            NaN        0.651839 False  True
    EGF         7      15  18.837375            NaN        0.543488 False  True
    EGF         8       0  17.592742      17.592742        0.589304 False False
    EGF         8       1  18.479209            NaN        0.556784 False  True
    EGF         8       2  17.420897      17.420897        0.595528 False False
    EGF         8       3  17.215133      17.215133        0.602940 False False
    EGF         8       4  18.298460      18.298460        0.563464 False False
    EGF         8       5  18.817451            NaN        0.544230 False  True
    EGF         8       6  16.016163            NaN        0.645101 False  True
    EGF         8       7  16.746704      16.746704        0.619634 False False
    EGF         8       8  18.044923            NaN        0.572794 False  True
    EGF         8       9  16.865893            NaN        0.615411 False  True
    EGF         8      10  18.014413            NaN        0.573914 False  True
