Protein,Replicate,Feature,Intensity,Obs_Intensity,MNAR_threshold,MAR,MNAR
EGF,0,0,23.194555822315984,,0.0018739663466750718,True,False
EGF,0,1,24.081022990459445,24.081022990459445,0.0013152542104549298,False,False
EGF,0,2,23.022710876698472,23.022710876698472,0.002007041745904426,False,False
EGF,0,3,22.816946785842887,22.816946785842887,0.0021788459188255395,False,False
EGF,0,4,23.900273765042023,23.900273765042023,0.0014137292110271388,False,False
EGF,0,5,24.41926443385005,,0.0011490090046952822,True,False
EGF,0,6,21.617977019850002,21.617977019850002,0.0035150131477359303,False,False
EGF,0,7,22.348517226519874,22.348517226519874,0.002626673611061267,False,False
EGF,0,8,23.64673646418553,23.64673646418553,0.001564388604749185,False,False
EGF,0,9,22.467706745979456,22.467706745979456,0.002504689435914951,False,False
EGF,0,10,23.61622662796512,23.61622662796512,0.0015835668548453078,False,False
EGF,0,11,25.26573358760849,25.26573358760849,0.000819256752953842,False,False
EGF,0,12,24.83256651421927,24.83256651421927,0.00097409553300903,False,False
EGF,0,13,23.602843115300697,23.602843115300697,0.0015920535291085553,False,False
EGF,0,14,21.56535920736081,21.56535920736081,0.003589509733022361,False,False
EGF,0,15,24.583604056583823,24.583604056583823,0.0010759856136611857,False,False
EGF,1,0,19.10287040951466,19.10287040951466,0.009554447293877433,False,False
EGF,1,1,19.989337577658123,19.989337577658123,0.00672126441667925,False,False
EGF,1,2,18.93102546389715,18.93102546389715,0.010227345752081667,False,False
EGF,1,3,18.725261373041562,18.725261373041562,0.011094990836106875,False,False
EGF,1,4,19.8085883522407,19.8085883522407,0.007221568462437055,False,False
EGF,1,5,20.327579021048727,20.327579021048727,0.005875731769378165,False,False
EGF,1,6,17.52629160704868,17.52629160704868,0.017801396145059153,False,False
EGF,1,7,18.25683181371855,18.25683181371855,0.013350872741141284,False,False
EGF,1,8,19.555051051384208,19.555051051384208,0.007986212246254298,False,False
EGF,1,9,18.376021333178134,18.376021333178134,0.012737211145825227,False,False
EGF,1,10,19.524541215163797,19.524541215163797,0.008083479932421478,False,False
EGF,1,11,21.17404817480717,21.17404817480717,0.004195162276151558,False,False
EGF,1,12,20.740881101417948,20.740881101417948,0.004984860961197573,False,False
EGF,1,13,19.511157702499375,19.511157702499375,0.008126517502754243,False,False
EGF,1,14,17.473673794559488,17.473673794559488,0.01817315394482398,False,False
EGF,1,15,20.4919186437825,20.4919186437825,0.005503964519662244,False,False
EGF,2,0,20.83861273673021,20.83861273673021,0.00479466569932419,False,False
EGF,2,1,21.72507990487367,21.72507990487367,0.0033681025010018567,False,False
EGF,2,2,20.666767791112697,20.666767791112697,0.005134080986531535,False,False
EGF,2,3,20.46100370025711,20.46100370025711,0.005572067386496202,False,False
EGF,2,4,21.544330679456248,21.544330679456248,0.003619720163673062,False,False
EGF,2,5,22.063321348264274,22.063321348264274,0.0029431465189411563,False,False
EGF,2,6,19.262033934264227,19.262033934264227,0.008970404985769209,False,False
EGF,2,7,19.992574140934096,19.992574140934096,0.006712626900078541,False,False
EGF,2,8,21.290793378599755,21.290793378599755,0.004004526560388535,False,False
EGF,2,9,20.11176366039368,20.11176366039368,0.006402106818789571,False,False
EGF,2,10,21.260283542379344,,0.004053497653999662,True,False
EGF,2,11,22.909790502022716,22.909790502022716,0.0020995799292633085,False,False
EGF,2,12,22.476623428633495,22.476623428633495,0.0024957941961606554,False,False
EGF,2,13,21.246900029714922,21.246900029714922,0.004075167188832681,False,False
EGF,2,14,19.209416121775035,19.209416121775035,0.009159459451074171,False,False
EGF,2,15,22.22766097099805,22.22766097099805,0.002756414305398412,False,False
EGF,3,0,24.625078382017364,24.625078382017364,0.0010583012883467154,False,False
EGF,3,1,25.511545550160825,25.511545550160825,0.0007425940044893625,False,False
EGF,3,2,24.453233436399852,24.453233436399852,0.00113351989382882,False,False
EGF,3,3,24.247469345544268,24.247469345544268,0.001230642192319198,False,False
EGF,3,4,25.330796324743403,25.330796324743403,0.0007982273702116297,False,False
EGF,3,5,25.84978699355143,,0.0006486847590235823,True,False
EGF,3,6,23.048499579551383,23.048499579551383,0.001986485478205126,False,False
EGF,3,7,23.779039786221254,23.779039786221254,0.0014838712633277013,False,False
EGF,3,8,25.07725902388691,25.07725902388691,0.0008833515091665985,False,False
EGF,3,9,23.898229305680836,23.898229305680836,0.0014148841722022413,False,False
EGF,3,10,25.0467491876665,25.0467491876665,0.0008941882242225344,False,False
EGF,3,11,26.69625614730987,26.69625614730987,0.0004624532814616222,False,False
EGF,3,12,26.26308907392065,26.26308907392065,0.0005498936431883965,False,False
EGF,3,13,25.033365675002077,25.033365675002077,0.000898983697202148,False,False
EGF,3,14,22.99588176706219,22.99588176706219,0.0020286526611785604,False,False
EGF,3,15,26.014126616285203,26.014126616285203,0.0006074393212821066,False,False
EGF,4,0,23.505072754862894,23.505072754862894,0.0016554441825921509,False,False
EGF,4,1,24.391539923006356,24.391539923006356,0.0011618073198999099,False,False
EGF,4,2,23.333227809245383,23.333227809245383,0.0017730292994493897,False,False
EGF,4,3,23.127463718389798,23.127463718389798,0.001924840479013656,False,False
