Protein Replicate Feature  Intensity  Obs_Intensity  MNAR_threshold   MAR  MNAR
    EGF         0       0  32.014818            NaN    5.512087e-05  True False
    EGF         0       1  32.901285      32.901285    3.866590e-05 False False
    EGF         0       2  31.842973      31.842973    5.904279e-05 False False
    EGF         0       3  31.637209      31.637209    6.410761e-05 False False
    EGF         0       4  32.720535      32.720535    4.156485e-05 False False
    EGF         0       5  33.239526            NaN    3.377316e-05  True False
    EGF         0       6  30.438239      30.438239    1.035559e-04 False False
    EGF         0       7  31.168779      31.168779    7.731760e-05 False False
    EGF         0       8  32.466998      32.466998    4.600110e-05 False False
    EGF         0       9  31.287968      31.287968    7.371818e-05 False False
    EGF         0      10  32.436488      32.436488    4.656591e-05 False False
    EGF         0      11  34.085995      34.085995    2.407294e-05 False False
    EGF         0      12  33.652828      33.652828    2.862701e-05 False False
    EGF         0      13  32.423105      32.423105    4.681585e-05 False False
    EGF         0      14  30.385621      30.385621    1.057583e-04 False False
    EGF         0      15  33.403866      33.403866    3.162452e-05 False False
    EGF         1       0  21.103656      21.103656    4.314446e-03 False False
    EGF         1       1  21.990124      21.990124    3.030328e-03 False False
    EGF         1       2  20.931812      20.931812    4.620024e-03 False False
    EGF         1       3  20.726047      20.726047    5.014378e-03 False False
    EGF         1       4  21.809374      21.809374    3.256794e-03 False False
    EGF         1       5  22.328365      22.328365    2.647876e-03 False False
    EGF         1       6  19.527078      19.527078    8.075349e-03 False False
    EGF         1       7  20.257618      20.257618    6.041476e-03 False False
    EGF         1       8  21.555837      21.555837    3.603158e-03 False False
    EGF         1       9  20.376807      20.376807    5.761823e-03 False False
    EGF         1      10  21.525327      21.525327    3.647239e-03 False False
    EGF         1      11  23.174834      23.174834    1.888780e-03 False False
    EGF         1      12  22.741667      22.741667    2.245303e-03 False False
    EGF         1      13  21.511944      21.511944    3.666745e-03 False False
    EGF         1      14  19.474460      19.474460    8.245697e-03 False False
    EGF         1      15  22.492705      22.492705    2.479831e-03 False False
    EGF         2       0  25.732303      25.732303    6.798753e-04 False False
    EGF         2       1  26.618770      26.618770    4.770043e-04 False False
    EGF         2       2  25.560458      25.560458    7.282169e-04 False False
    EGF         2       3  25.354694      25.354694    7.906395e-04 False False
    EGF         2       4  26.438021      26.438021    5.127505e-04 False False
    EGF         2       5  26.957011      26.957011    4.166678e-04 False False
    EGF         2       6  24.155724      24.155724    1.276585e-03 False False
    EGF         2       7  24.886264      24.886264    9.534158e-04 False False
    EGF         2       8  26.184483      26.184483    5.674483e-04 False False
    EGF         2       9  25.005454      25.005454    9.090678e-04 False False
    EGF         2      10  26.153973            NaN    5.744118e-04  True False
    EGF         2      11  27.803480      27.803480    2.970265e-04 False False
    EGF         2      12  27.370313      27.370313    3.531991e-04 False False
    EGF         2      13  26.140590      26.140590    5.774933e-04 False False
    EGF         2      14  24.103106      24.103106    1.303703e-03 False False
    EGF         2      15  27.121351      27.121351    3.901690e-04 False False
    EGF         3       0  35.829544      35.829544    1.198530e-05 False False
    EGF         3       1  36.716012      36.716012    8.407276e-06 False False
    EGF         3       2  35.657699      35.657699    1.283811e-05 False False
    EGF         3       3  35.451935      35.451935    1.393944e-05 False False
    EGF         3       4  36.535262      36.535262    9.037627e-06 False False
    EGF         3       5  37.054253            NaN    7.343400e-06  True False
    EGF         3       6  34.252966      34.252966    2.251770e-05 False False
    EGF         3       7  34.983506      34.983506    1.681198e-05 False False
    EGF         3       8  36.281725      36.281725    1.000225e-05 False False
    EGF         3       9  35.102695      35.102695    1.602927e-05 False False
    EGF         3      10  36.251215      36.251215    1.012507e-05 False False
    EGF         3      11  37.900722      37.900722    5.234213e-06 False False
    EGF         3      12  37.467555      37.467555    6.224433e-06 False False
    EGF         3      13  36.237832      36.237832    1.017942e-05 False False
    EGF         3      14  34.200348      34.200348    2.299665e-05 False False
    EGF         3      15  37.218593      37.218593    6.876203e-06 False False
    EGF         4       0  32.842863      32.842863    3.958008e-05 False False
    EGF         4       1  33.729330      33.729330    2.776430e-05 False False
    EGF         4       2  32.671018      32.671018    4.239630e-05 False False
    EGF         4       3  32.465254      32.465254    4.603321e-05 False False
    EGF         4       4  33.548581      33.548581    2.984593e-05 False False
    EGF         4       5  34.067571      34.067571    2.425100e-05 False False
    EGF         4       6  31.266284      31.266284    7.436033e-05 False False
    EGF         4       7  31.996824      31.996824    5.551900e-05 False False
    EGF         4       8  33.295043      33.295043    3.303145e-05 False False
    EGF         4       9  32.116014      32.116014    5.293433e-05 False False
    EGF         4      10  33.264534      33.264534    3.343702e-05 False False
    EGF         4      11  34.914040      34.914040    1.728566e-05 False False
    EGF         4      12  34.480873      34.480873    2.055575e-05 False False
    EGF         4      13  33.251150      33.251150    3.361650e-05 False False
    EGF         4      14  31.213666      31.213666    7.594187e-05 False False
    EGF         4      15  34.231911      34.231911    2.270814e-05 False False
    EGF         5       0  10.084176      10.084176    2.623732e-01 False False
    EGF         5       1  10.970643      10.970643    1.996861e-01 False False
    EGF         5       2   9.912331            NaN    2.758917e-01  True  True
    EGF         5       3   9.706567       9.706567    2.926338e-01 False False
    EGF         5       4  10.789894      10.789894    2.114917e-01 False False
    EGF         5       5  11.308884      11.308884    1.789388e-01 False False
    EGF         5       6   8.507597       8.507597    4.005825e-01 False False
    EGF         5       7   9.238137            NaN    3.328651e-01 False  True
    EGF         5       8  10.536356      10.536356    2.288983e-01 False False
    EGF         5       9   9.357327            NaN    3.223636e-01 False  True
    EGF         5      10  10.505847      10.505847    2.310595e-01 False False
    EGF         5      11  12.155354            NaN    1.344536e-01 False  True
    EGF         5      12  11.722186      11.722186    1.559239e-01 False False
    EGF         5      13  10.492463      10.492463    2.320120e-01 False False
