Protein Replicate Feature  Intensity  Obs_Intensity  MNAR_threshold   MAR  MNAR
    EGF         0       0  32.152486      32.152486        0.000052 False False
    EGF         0       1  32.257129      32.257129        0.000050 False False
    EGF         0       2  32.837989      32.837989        0.000040 False False
    EGF         0       3  31.222803      31.222803        0.000076 False False
    EGF         0       4  30.627861      30.627861        0.000096 False False
    EGF         0       5  31.683121      31.683121        0.000063 False False
    EGF         0       6  33.938042      33.938042        0.000026 False False
    EGF         0       7  30.860942      30.860942        0.000087 False False
    EGF         0       8  33.728355            NaN        0.000028  True False
    EGF         0       9  32.287643      32.287643        0.000049 False False
    EGF         0      10  31.940064      31.940064        0.000057 False False
    EGF         0      11  33.640584      33.640584        0.000029 False False
    EGF         0      12  31.946835      31.946835        0.000057 False False
    EGF         0      13  33.009089      33.009089        0.000037 False False
    EGF         0      14  31.708520      31.708520        0.000062 False False
    EGF         0      15  33.728596      33.728596        0.000028 False False
    EGF         1       0  21.241325      21.241325        0.004084 False False
    EGF         1       1  21.345968      21.345968        0.003917 False False
    EGF         1       2  21.926828      21.926828        0.003108 False False
    EGF         1       3  20.311642      20.311642        0.005913 False False
    EGF         1       4  19.716700      19.716700        0.007490 False False
    EGF         1       5  20.771960      20.771960        0.004924 False False
    EGF         1       6  23.026881      23.026881        0.002004 False False
    EGF         1       7  19.949781      19.949781        0.006828 False False
    EGF         1       8  22.817193      22.817193        0.002179 False False
    EGF         1       9  21.376481      21.376481        0.003870 False False
    EGF         1      10  21.028903      21.028903        0.004445 False False
    EGF         1      11  22.729423            NaN        0.002256  True False
    EGF         1      12  21.035674      21.035674        0.004433 False False
    EGF         1      13  22.097928      22.097928        0.002903 False False
    EGF         1      14  20.797359      20.797359        0.004874 False False
    EGF         1      15  22.817435      22.817435        0.002178 False False
    EGF         2       0  25.869971      25.869971        0.000643 False False
    EGF         2       1  25.974614      25.974614        0.000617 False False
    EGF         2       2  26.555474      26.555474        0.000489 False False
    EGF         2       3  24.940288      24.940288        0.000933 False False
    EGF         2       4  24.345346      24.345346        0.001183 False False
    EGF         2       5  25.400607      25.400607        0.000776 False False
    EGF         2       6  27.655527      27.655527        0.000315 False False
    EGF         2       7  24.578427      24.578427        0.001078 False False
    EGF         2       8  27.445840            NaN        0.000343  True False
    EGF         2       9  26.005128      26.005128        0.000610 False False
    EGF         2      10  25.657550      25.657550        0.000700 False False
    EGF         2      11  27.358070      27.358070        0.000355 False False
    EGF         2      12  25.664320      25.664320        0.000699 False False
    EGF         2      13  26.726574      26.726574        0.000457 False False
    EGF         2      14  25.426005      25.426005        0.000768 False False
    EGF         2      15  27.446081      27.446081        0.000343 False False
    EGF         3       0  35.967213      35.967213        0.000011 False False
    EGF         3       1  36.071856      36.071856        0.000011 False False
    EGF         3       2  36.652716      36.652716        0.000009 False False
    EGF         3       3  35.037530      35.037530        0.000016 False False
    EGF         3       4  34.442588      34.442588        0.000021 False False
    EGF         3       5  35.497848      35.497848        0.000014 False False
    EGF         3       6  37.752768      37.752768        0.000006 False False
    EGF         3       7  34.675669      34.675669        0.000019 False False
    EGF         3       8  37.543081      37.543081        0.000006 False False
    EGF         3       9  36.102369      36.102369        0.000011 False False
    EGF         3      10  35.754791      35.754791        0.000012 False False
    EGF         3      11  37.455311      37.455311        0.000006 False False
    EGF         3      12  35.761561      35.761561        0.000012 False False
    EGF         3      13  36.823816      36.823816        0.000008 False False
    EGF         3      14  35.523247      35.523247        0.000014 False False
    EGF         3      15  37.543323      37.543323        0.000006 False False
    EGF         4       0  32.980531      32.980531        0.000037 False False
    EGF         4       1  33.085174      33.085174        0.000036 False False
    EGF         4       2  33.666034      33.666034        0.000028 False False
    EGF         4       3  32.050848      32.050848        0.000054 False False
    EGF         4       4  31.455906      31.455906        0.000069 False False
    EGF         4       5  32.511167      32.511167        0.000045 False False
    EGF         4       6  34.766087      34.766087        0.000018 False False
    EGF         4       7  31.688987      31.688987        0.000063 False False
    EGF         4       8  34.556400      34.556400        0.000020 False False
    EGF         4       9  33.115688      33.115688        0.000035 False False
    EGF         4      10  32.768110      32.768110        0.000041 False False
    EGF         4      11  34.468630      34.468630        0.000021 False False
    EGF         4      12  32.774880      32.774880        0.000041 False False
    EGF         4      13  33.837134      33.837134        0.000027 False False
    EGF         4      14  32.536565      32.536565        0.000045 False False
    EGF         4      15  34.556641      34.556641        0.000020 False False
    EGF         5       0  10.221844            NaN        0.251856 False  True
    EGF         5       1  10.326487      10.326487        0.244051 False False
    EGF         5       2  10.907347      10.907347        0.203763 False False
    EGF         5       3   9.292161       9.292161        0.328084 False False
    EGF         5       4   8.697219       8.697219        0.382515 False False
    EGF         5       5   9.752480            NaN        0.288847 False  True
    EGF         5       6  12.007400      12.007400        0.141491 False False
    EGF         5       7   8.930301       8.930301        0.360748 False False
    EGF         5       8  11.797713      11.797713        0.151989 False False
    EGF         5       9  10.357001      10.357001        0.241807 False False
    EGF         5      10  10.009423      10.009423        0.268201 False False
    EGF         5      11  11.709943      11.709943        0.156570 False False
