Protein Replicate Feature  Intensity  Obs_Intensity  MNAR_threshold   MAR  MNAR
    EGF         0       0  32.928281      32.928281    3.825062e-05 False False
    EGF         0       1  33.840737      33.840737    2.655423e-05 False False
    EGF         0       2  32.519273      32.519273    4.504925e-05 False False
    EGF         0       3  32.493208      32.493208    4.552136e-05 False False
    EGF         0       4  33.060360      33.060360    3.628231e-05 False False
    EGF         0       5  33.015554      33.015554    3.693842e-05 False False
    EGF         0       6  31.229106      31.229106    7.547434e-05 False False
    EGF         0       7  33.301434      33.301434    3.294712e-05 False False
    EGF         0       8  33.730178      33.730178    2.775488e-05 False False
    EGF         0       9  33.230054            NaN    3.390136e-05  True False
    EGF         0      10  33.509951      33.509951    3.031068e-05 False False
    EGF         0      11  33.507305      33.507305    3.034277e-05 False False
    EGF         0      12  31.102890            NaN    7.938228e-05  True False
    EGF         1       0  22.017120      22.017120    2.997879e-03 False False
    EGF         1       1  22.929576      22.929576    2.083063e-03 False False
    EGF         1       2  21.608112      21.608112    3.528862e-03 False False
    EGF         1       3  21.582047      21.582047    3.565714e-03 False False
    EGF         1       4  22.149199      22.149199    2.844046e-03 False False
    EGF         1       5  22.104393      22.104393    2.895329e-03 False False
    EGF         1       6  20.317945      20.317945    5.898285e-03 False False
    EGF         1       7  22.390273      22.390273    2.583278e-03 False False
    EGF         1       8  22.819017      22.819017    2.177047e-03 False False
    EGF         1       9  22.318893      22.318893    2.657901e-03 False False
    EGF         1      10  22.598790      22.598790    2.377049e-03 False False
    EGF         1      11  22.596144      22.596144    2.379559e-03 False False
    EGF         1      12  20.191729      20.191729    6.201819e-03 False False
    EGF         2       0  26.645766      26.645766    4.718835e-04 False False
    EGF         2       1  27.558222      27.558222    3.276329e-04 False False
    EGF         2       2  26.236758      26.236758    5.557127e-04 False False
    EGF         2       3  26.210694      26.210694    5.615335e-04 False False
    EGF         2       4  26.777845      26.777845    4.476112e-04 False False
    EGF         2       5  26.733039      26.733039    4.557021e-04 False False
    EGF         2       6  24.946591      24.946591    9.307057e-04 False False
    EGF         2       7  27.018920      27.018920    4.064806e-04 False False
    EGF         2       8  27.447663      27.447663    3.424422e-04 False False
    EGF         2       9  26.947539      26.947539    4.182489e-04 False False
    EGF         2      10  27.227436      27.227436    3.739650e-04 False False
    EGF         2      11  27.224790      27.224790    3.743608e-04 False False
    EGF         2      12  24.820375      24.820375    9.788527e-04 False False
    EGF         3       0  36.743008      36.743008    8.316979e-06 False False
    EGF         3       1  37.655464      37.655464    5.773735e-06 False False
    EGF         3       2  36.334000      36.334000    9.795282e-06 False False
    EGF         3       3  36.307935      36.307935    9.897939e-06 False False
    EGF         3       4  36.875087      36.875087    7.888989e-06 False False
    EGF         3       5  36.830280      36.830280    8.031653e-06 False False
    EGF         3       6  35.043833      35.043833    1.641115e-05 False False
    EGF         3       7  37.116161      37.116161    7.163788e-06 False False
    EGF         3       8  37.544905      37.544905    6.034800e-06 False False
    EGF         3       9  37.044781      37.044781    7.371277e-06 False False
    EGF         3      10  37.324677      37.324677    6.590525e-06 False False
    EGF         3      11  37.322032      37.322032    6.597503e-06 False False
    EGF         3      12  34.917617      34.917617    1.726095e-05 False False
    EGF         4       0  33.756326      33.756326    2.746610e-05 False False
    EGF         4       1  34.668782      34.668782    1.906737e-05 False False
    EGF         4       2  33.347318      33.347318    3.234796e-05 False False
    EGF         4       3  33.321254      33.321254    3.268697e-05 False False
    EGF         4       4  33.888405      33.888405    2.605273e-05 False False
    EGF         4       5  33.843599      33.843599    2.652386e-05 False False
    EGF         4       6  32.057151            NaN    5.419540e-05  True False
    EGF         4       7  34.129480      34.129480    2.365785e-05 False False
    EGF         4       8  34.558223      34.558223    1.992951e-05 False False
    EGF         4       9  34.058099      34.058099    2.434306e-05 False False
    EGF         4      10  34.337996      34.337996    2.176472e-05 False False
    EGF         4      11  34.335350      34.335350    2.178777e-05 False False
    EGF         4      12  31.930935      31.930935    5.700161e-05 False False
    EGF         5       0  10.997639      10.997639    1.979660e-01 False False
    EGF         5       1  11.910096      11.910096    1.462853e-01 False False
    EGF         5       2  10.588631      10.588631    2.252285e-01 False False
    EGF         5       3  10.562567            NaN    2.270531e-01 False  True
    EGF         5       4  11.129718      11.129718    1.897113e-01 False False
    EGF         5       5  11.084912            NaN    1.924817e-01 False  True
    EGF         5       6   9.298464       9.298464    3.275283e-01 False False
    EGF         5       7  11.370793      11.370793    1.753295e-01 False False
    EGF         5       8  11.799536      11.799536    1.518951e-01 False False
    EGF         5       9  11.299412      11.299412    1.794962e-01 False False
    EGF         5      10  11.579309      11.579309    1.635944e-01 False False
    EGF         5      11  11.576663      11.576663    1.637393e-01 False False
    EGF         5      12   9.172248            NaN    3.387434e-01 False  True
    EGF         6       0  26.416570      26.416570    5.171668e-04 False False
    EGF         6       1  27.329026      27.329026    3.590785e-04 False False
    EGF         6       2  26.007562      26.007562    6.090356e-04 False False
    EGF         6       3  25.981497      25.981497    6.154146e-04 False False
    EGF         6       4  26.548648      26.548648    4.905664e-04 False False
    EGF         6       5  26.503842            NaN    4.994333e-04  True False
    EGF         6       6  24.717394      24.717394    1.019974e-03 False False
    EGF         6       7  26.789723      26.789723    4.454904e-04 False False
    EGF         6       8  27.218466      27.218466    3.753086e-04 False False
    EGF         6       9  26.718342      26.718342    4.583876e-04 False False
    EGF         6      10  26.998239      26.998239    4.098556e-04 False False
    EGF         6      11  26.995593            NaN    4.102894e-04  True False
    EGF         6      12  24.591179      24.591179    1.072734e-03 False False
    EGF         7       0  17.605005      17.605005    1.725917e-02 False False
    EGF         7       1  18.517461      18.517461    1.204504e-02 False False
    EGF         7       2  17.195997      17.195997    2.026477e-02 False False
    EGF         7       3  17.169932      17.169932    2.047280e-02 False False
    EGF         7       4  17.737083      17.737083    1.638556e-02 False False
    EGF         7       5  17.692277      17.692277    1.667694e-02 False False
    EGF         7       6  15.905829            NaN    3.349366e-02  True False
    EGF         7       7  17.978158      17.978158    1.490174e-02 False False
    EGF         7       8  18.406901      18.406901    1.258282e-02 False False
    EGF         7       9  17.906777      17.906777    1.532674e-02 False False
    EGF         7      10  18.186674      18.186674    1.372563e-02 False False
