source_hgnc_id	source_hgnc_symbol	relation	target_hgnc_id	target_hgnc_symbol	stmt_hash	evidence_count	source_counts	reason_added	source_observed	target_observed
9583	PTBP1	DecreaseAmount	163	ACTN1	-32686516665330613	1	"{""medscan"": 1}"	direct	True	True
7996	NRF1	DecreaseAmount	7877	CNOT1	32829148865051599	1	"{""biopax"": 1}"	confounder	False	True
7996	NRF1	DecreaseAmount	29540	NOB1	-12945169510887537	1	"{""biopax"": 1}"	confounder	False	True
7996	NRF1	DecreaseAmount	4273	GIT2	125303142737934	1	"{""biopax"": 1}"	confounder	False	True
7996	NRF1	DecreaseAmount	11802	TIA1	8104216979126480	1	"{""biopax"": 1}"	confounder	False	True
7996	NRF1	DecreaseAmount	17016	KAT7	2547618900606544	1	"{""biopax"": 1}"	confounder	False	True
7996	NRF1	DecreaseAmount	16835	TAOK2	497670802768219	1	"{""biopax"": 1}"	confounder	False	True
7996	NRF1	DecreaseAmount	13890	ITCH	-34341758641381356	1	"{""biopax"": 1}"	confounder	False	True
6914	MAZ	DecreaseAmount	18018	DHX40	-24550710919143300	1	"{""biopax"": 1}"	confounder	False	True
6914	MAZ	DecreaseAmount	29540	NOB1	-30281045762711419	1	"{""biopax"": 1}"	confounder	False	True
6914	MAZ	DecreaseAmount	16835	TAOK2	-9054251217414584	1	"{""biopax"": 1}"	confounder	False	True
6914	MAZ	DecreaseAmount	15921	RALY	-34313496302848221	1	"{""biopax"": 1}"	confounder	False	True
6914	MAZ	DecreaseAmount	12593	USF1	-13308883268413185	1	"{""biopax"": 1}"	confounder	False	True
6914	MAZ	DecreaseAmount	9583	PTBP1	20703816233751305	1	"{""biopax"": 1}"	confounder	False	True
6914	MAZ	DecreaseAmount	7877	CNOT1	1801038207071914	1	"{""biopax"": 1}"	confounder	False	True
6914	MAZ	DecreaseAmount	25917	FIZ1	-4458017070793001	1	"{""biopax"": 1}"	confounder	False	True
5224	HSF1	DecreaseAmount	9081	PLOD1	-35889779226757780	1	"{""biopax"": 1}"	confounder	False	True
5224	HSF1	DecreaseAmount	29540	NOB1	-2125382322696343	2	"{""biopax"": 2}"	confounder	False	True
3810	FOXF2	DecreaseAmount	20672	PHF8	-35155404621969046	1	"{""biopax"": 1}"	confounder	False	True
3810	FOXF2	DecreaseAmount	29540	NOB1	5034049388295495	1	"{""biopax"": 1}"	confounder	False	True
3810	FOXF2	DecreaseAmount	18018	DHX40	19606620610598482	1	"{""biopax"": 1}"	confounder	False	True
11366	STAT5A	DecreaseAmount	163	ACTN1	-19424876382842180	2	"{""biopax"": 2}"	confounder	False	True
11366	STAT5A	DecreaseAmount	29540	NOB1	34373182176087371	1	"{""biopax"": 1}"	confounder	False	True
11291	SRF	DecreaseAmount	163	ACTN1	-16242908423062748	5	"{""biopax"": 5}"	confounder	False	True
11291	SRF	DecreaseAmount	29540	NOB1	11358823028121517	1	"{""biopax"": 1}"	confounder	False	True
9005	PITX2	IncreaseAmount	9081	PLOD1	-17403096904780471	3	"{""medscan"": 2, ""reach"": 1}"	confounder	False	True
9005	PITX2	DecreaseAmount	15921	RALY	-10678789786384776	1	"{""biopax"": 1}"	confounder	False	True
9005	PITX2	DecreaseAmount	25917	FIZ1	-9240017051033428	1	"{""biopax"": 1}"	confounder	False	True
9005	PITX2	DecreaseAmount	1104	BRD3	19712224209633153	1	"{""biopax"": 1}"	confounder	False	True
5024	HNF4A	DecreaseAmount	7877	CNOT1	31331287554472989	1	"{""biopax"": 1}"	confounder	False	True
5024	HNF4A	DecreaseAmount	15921	RALY	8634589378873712	1	"{""biopax"": 1}"	confounder	False	True
1833	CEBPA	DecreaseAmount	17016	KAT7	-7234331147414348	1	"{""biopax"": 1}"	confounder	False	True
1833	CEBPA	DecreaseAmount	15921	RALY	7637691761384940	1	"{""biopax"": 1}"	confounder	False	True
12872	ZIC1	DecreaseAmount	16835	TAOK2	9540337930725253	1	"{""biopax"": 1}"	confounder	False	True
12872	ZIC1	DecreaseAmount	15921	RALY	-34827699468255686	1	"{""biopax"": 1}"	confounder	False	True
11749	TFDP1	DecreaseAmount	25917	FIZ1	15402128947422280	3	"{""biopax"": 3}"	confounder	False	True
11749	TFDP1	DecreaseAmount	15921	RALY	29763330409565513	3	"{""biopax"": 3}"	confounder	False	True
11749	TFDP1	DecreaseAmount	18018	DHX40	25072791036397624	2	"{""biopax"": 2}"	confounder	False	True
11749	TFDP1	DecreaseAmount	1739	CDC45	22833538955108504	4	"{""biopax"": 4}"	confounder	False	True
11749	TFDP1	DecreaseAmount	16835	TAOK2	-33244448260983827	4	"{""biopax"": 4}"	confounder	False	True
