source_hgnc_id	source_hgnc_symbol	relation	target_hgnc_id	target_hgnc_symbol	stmt_hash	evidence_count	source_counts	reason_added	source_observed	target_observed
12950	SF1	DecreaseAmount	5384	IDH3A	-6396372237732245	2	"{""biopax"": 2}"	direct	True	True
11208	SP3	DecreaseAmount	10761	SETDB1	29543134189510020	1	"{""reach"": 1}"	direct	True	True
11208	SP3	IncreaseAmount	10761	SETDB1	29591647914953112	1	"{""medscan"": 1}"	direct	True	True
8647	PCBP1	DecreaseAmount	1445	CALM2	-584691812893913	1	"{""biopax"": 1}"	direct	True	True
11208	SP3	DecreaseAmount	1445	CALM2	19867927499048160	1	"{""biopax"": 1}"	direct	True	True
8647	PCBP1	DecreaseAmount	12950	SF1	31260581168222131	1	"{""biopax"": 1}"	direct	True	True
C057862		IncreaseAmount	1445	CALM2	34082140706452069	1	"{""ctd"": 1}"	confounder	False	True
C057862		DecreaseAmount	9811	RAD21	23990078877978225	1	"{""ctd"": 1}"	confounder	False	True
7996	NRF1	DecreaseAmount	9188	POLR2B	-26371623109895927	1	"{""biopax"": 1}"	confounder	False	True
7996	NRF1	DecreaseAmount	9811	RAD21	-35247467739679205	1	"{""biopax"": 1}"	confounder	False	True
7996	NRF1	DecreaseAmount	4010	FUS	15392101606506964	2	"{""biopax"": 2}"	confounder	False	True
7996	NRF1	DecreaseAmount	2750	DHX9	29022497848466276	1	"{""biopax"": 1}"	confounder	False	True
7996	NRF1	DecreaseAmount	16049	PTGES3	-16470334383712550	2	"{""biopax"": 2}"	confounder	False	True
7996	NRF1	DecreaseAmount	13917	DDX39B	22894463903243165	1	"{""biopax"": 1}"	confounder	False	True
7996	NRF1	DecreaseAmount	12950	SF1	7620941129514169	2	"{""biopax"": 2}"	confounder	False	True
7139	FOXO4	IncreaseAmount	9556	PSMD11	-14374680954938153	1	"{""reach"": 1}"	confounder	False	True
7139	FOXO4	DecreaseAmount	9811	RAD21	-29021531013313827	1	"{""biopax"": 1}"	confounder	False	True
7139	FOXO4	DecreaseAmount	9556	PSMD11	-7274154181701971	1	"{""reach"": 1}"	confounder	False	True
7139	FOXO4	IncreaseAmount	9556	PSMD11	-24238351265386410	1	"{""reach"": 1}"	confounder	False	True
7139	FOXO4	DecreaseAmount	4010	FUS	-1749253709529566	1	"{""biopax"": 1}"	confounder	False	True
7139	FOXO4	DecreaseAmount	23293	WAPL	29124121421924505	1	"{""biopax"": 1}"	confounder	False	True
7139	FOXO4	DecreaseAmount	16850	CTR9	-28647986570625615	1	"{""biopax"": 1}"	confounder	False	True
7139	FOXO4	DecreaseAmount	1445	CALM2	-5563518967198883	1	"{""biopax"": 1}"	confounder	False	True
7139	FOXO4	DecreaseAmount	12017	TPR	6246967395373660	1	"{""biopax"": 1}"	confounder	False	True
6914	MAZ	DecreaseAmount	12950	SF1	13488854412494120	1	"{""biopax"": 1}"	confounder	False	True
6914	MAZ	DecreaseAmount	9811	RAD21	13181570291668898	1	"{""biopax"": 1}"	confounder	False	True
