source_hgnc_id	source_hgnc_symbol	relation	target_hgnc_id	target_hgnc_symbol	stmt_hash	evidence_count	source_counts	reason_added	source_observed	target_observed
786	ATF4	DecreaseAmount	13799	ERP29	-31018629560974754	1	"{""reach"": 1}"	direct	True	True
3285	EIF4B	IncreaseAmount	3282	EIF4A1	5737016059832233	1	"{""medscan"": 1}"	direct	True	True
3275	EIF3F	IncreaseAmount	3285	EIF4B	31087416765461152	1	"{""signor"": 1}"	direct	True	True
3275	EIF3F	IncreaseAmount	3297	EIF4G2	-11013223173617240	1	"{""signor"": 1}"	direct	True	True
8014	YBX1	DecreaseAmount	10417	RPS27A	-20913520629883280	1	"{""reach"": 1}"	direct	True	True
7871	NONO	DecreaseAmount	8014	YBX1	16304230823173216	2	"{""reach"": 2}"	direct	True	True
3214	EEF2	IncreaseAmount	8014	YBX1	-7311479355819404	1	"{""reach"": 1}"	direct	True	True
8014	YBX1	IncreaseAmount	12855	YWHAZ	-32675137074248992	1	"{""reach"": 1}"	direct	True	True
8014	YBX1	DecreaseAmount	7871	NONO	24484994409380430	2	"{""reach"": 2}"	direct	True	True
4399	RACK1	IncreaseAmount	10429	RPS6	-7407581220262038	1	"{""reach"": 1}"	direct	True	True
10325	RPL24	DecreaseAmount	10429	RPS6	4171866646243107	1	"{""reach"": 1}"	direct	True	True
3277	EIF3E	DecreaseAmount	3278	EIF3D	10946703969407950	1	"{""reach"": 1}"	direct	True	True
8014	YBX1	DecreaseAmount	3214	EEF2	32991383358828825	1	"{""medscan"": 1}"	direct	True	True
4852	HDAC1	DecreaseAmount	3214	EEF2	2927087857859694	1	"{""reach"": 1}"	direct	True	True
3285	EIF4B	IncreaseAmount	3214	EEF2	15645355216891099	1	"{""reach"": 1}"	direct	True	True
10429	RPS6	IncreaseAmount	3214	EEF2	-10466541257542129	1	"{""reach"": 1}"	direct	True	True
4852	HDAC1	DecreaseAmount	786	ATF4	-7360263196029202	1	"{""medscan"": 1}"	direct	True	True
3285	EIF4B	IncreaseAmount	786	ATF4	25375097233019645	1	"{""reach"": 1}"	direct	True	True
786	ATF4	DecreaseAmount	962	BAZ2A	-8221430298797320	1	"{""biopax"": 1}"	direct	True	True
786	ATF4	DecreaseAmount	4392	GNAS	-25695456200914141	1	"{""biopax"": 1}"	direct	True	True
5031	HNRNPA1	IncreaseAmount	4392	GNAS	10277372411534116	1	"{""medscan"": 1}"	direct	True	True
4852	HDAC1	IncreaseAmount	1919	CHD4	3985113672680535	1	"{""reach"": 1}"	direct	True	True
786	ATF4	DecreaseAmount	1553	CBX3	12972200628492608	1	"{""biopax"": 1}"	direct	True	True
5044	HNRNPK	IncreaseAmount	12518	UCP2	27240121127792036	1	"{""reach"": 1}"	direct	True	True
5044	HNRNPK	DecreaseAmount	12518	UCP2	-11827270671668518	4	"{""reach"": 2, ""medscan"": 2}"	direct	True	True
786	ATF4	IncreaseAmount	667	RHOA	-23014667412780297	2	"{""reach"": 2}"	direct	True	True
4856	HDGF	DecreaseAmount	667	RHOA	-12394352922711018	1	"{""reach"": 1}"	direct	True	True
4856	HDGF	IncreaseAmount	667	RHOA	16497753962572032	1	"{""reach"": 1}"	direct	True	True
4852	HDAC1	IncreaseAmount	667	RHOA	24996716419180247	1	"{""reach"": 1}"	direct	True	True
786	ATF4	IncreaseAmount	4852	HDAC1	22362236721348583	9	"{""reach"": 7, ""medscan"": 2}"	direct	True	True
667	RHOA	IncreaseAmount	4852	HDAC1	23019005799323019	1	"{""reach"": 1}"	direct	True	True
12855	YWHAZ	IncreaseAmount	4852	HDAC1	-4693729454806240	1	"{""reach"": 1}"	direct	True	True
3321	ELK1	DecreaseAmount	8648	PCBP2	6587304643928244	1	"{""biopax"": 1}"	confounder	False	True
3321	ELK1	DecreaseAmount	18684	DDX49	-2064907620509331	1	"{""biopax"": 1}"	confounder	False	True
3321	ELK1	DecreaseAmount	823	ATP5F1A	-22996476799484910	2	"{""biopax"": 2}"	confounder	False	True
3321	ELK1	DecreaseAmount	7007	RAB8A	-20134025512522399	1	"{""biopax"": 1}"	confounder	False	True
3321	ELK1	DecreaseAmount	667	RHOA	18527671396506214	1	"{""biopax"": 1}"	confounder	False	True
3321	ELK1	DecreaseAmount	5036	HNRNPD	27087224662394649	1	"{""biopax"": 1}"	confounder	False	True
3321	ELK1	DecreaseAmount	3273	EIF3H	-32590819074239139	1	"{""biopax"": 1}"	confounder	False	True
3321	ELK1	DecreaseAmount	2728	DDOST	4106801507527623	2	"{""biopax"": 2}"	confounder	False	True
3321	ELK1	DecreaseAmount	12754	WDR1	-7493729744841489	1	"{""biopax"": 1}"	confounder	False	True
3321	ELK1	DecreaseAmount	11575	TAX1BP1	24218559047670007	1	"{""biopax"": 1}"	confounder	False	True
3321	ELK1	DecreaseAmount	11299	SRP14	-14158512212675945	1	"{""biopax"": 1}"	confounder	False	True
3321	ELK1	DecreaseAmount	10791	SRSF9	21715973985769790	1	"{""biopax"": 1}"	confounder	False	True
3321	ELK1	DecreaseAmount	10765	SF3A1	-16118518581414818	1	"{""biopax"": 1}"	confounder	False	True
3321	ELK1	DecreaseAmount	10429	RPS6	-16207110031184769	1	"{""biopax"": 1}"	confounder	False	True
3321	ELK1	DecreaseAmount	10377	RPLP2	24770408189818289	1	"{""biopax"": 1}"	confounder	False	True
3321	ELK1	DecreaseAmount	10080	RNPS1	29439630053477137	1	"{""biopax"": 1}"	confounder	False	True
C072553		IncreaseAmount	786	ATF4	18941655643733039	3	"{""ctd"": 3}"	confounder	False	True
C072553		DecreaseAmount	10783	SRSF2	32707957074172046	1	"{""ctd"": 1}"	confounder	False	True
C072553		DecreaseAmount	5044	HNRNPK	-8052293305595407	1	"{""ctd"": 1}"	confounder	False	True
C072553		DecreaseAmount	4852	HDAC1	-13638079396481947	2	"{""ctd"": 2}"	confounder	False	True
9884	RB1	DecreaseAmount	5036	HNRNPD	30945529417045389	2	"{""biopax"": 2}"	confounder	False	True
