source_hgnc_id	source_hgnc_symbol	relation	target_hgnc_id	target_hgnc_symbol	stmt_hash	evidence_count	source_counts	reason_added	source_observed	target_observed
3277	EIF3E	DecreaseAmount	3278	EIF3D	10946703969407950	1	"{""reach"": 1}"	direct	True	True
4852	HDAC1	IncreaseAmount	1919	CHD4	3985113672680535	1	"{""reach"": 1}"	direct	True	True
4856	HDGF	DecreaseAmount	667	RHOA	-12394352922711018	1	"{""reach"": 1}"	direct	True	True
4856	HDGF	IncreaseAmount	667	RHOA	16497753962572032	1	"{""reach"": 1}"	direct	True	True
4852	HDAC1	IncreaseAmount	667	RHOA	24996716419180247	1	"{""reach"": 1}"	direct	True	True
667	RHOA	IncreaseAmount	4852	HDAC1	23019005799323019	1	"{""reach"": 1}"	direct	True	True
3321	ELK1	DecreaseAmount	8648	PCBP2	6587304643928244	1	"{""biopax"": 1}"	confounder	False	True
3321	ELK1	DecreaseAmount	18684	DDX49	-2064907620509331	1	"{""biopax"": 1}"	confounder	False	True
3321	ELK1	DecreaseAmount	667	RHOA	18527671396506214	1	"{""biopax"": 1}"	confounder	False	True
3321	ELK1	DecreaseAmount	3273	EIF3H	-32590819074239139	1	"{""biopax"": 1}"	confounder	False	True
3321	ELK1	DecreaseAmount	12754	WDR1	-7493729744841489	1	"{""biopax"": 1}"	confounder	False	True
3321	ELK1	DecreaseAmount	11299	SRP14	-14158512212675945	1	"{""biopax"": 1}"	confounder	False	True
3321	ELK1	DecreaseAmount	10791	SRSF9	21715973985769790	1	"{""biopax"": 1}"	confounder	False	True
3321	ELK1	DecreaseAmount	10765	SF3A1	-16118518581414818	1	"{""biopax"": 1}"	confounder	False	True
3321	ELK1	DecreaseAmount	10080	RNPS1	29439630053477137	1	"{""biopax"": 1}"	confounder	False	True
C072553		DecreaseAmount	4852	HDAC1	-13638079396481947	2	"{""ctd"": 2}"	confounder	False	True
C072553		DecreaseAmount	10783	SRSF2	32707957074172046	1	"{""ctd"": 1}"	confounder	False	True
9884	RB1	IncreaseAmount	1103	BRD2	-18629028319752340	1	"{""biopax"": 1}"	confounder	False	True
9884	RB1	DecreaseAmount	10783	SRSF2	3348929692411004	1	"{""biopax"": 1}"	confounder	False	True
935	BACH1	DecreaseAmount	1103	BRD2	2670350753737690	1	"{""biopax"": 1}"	confounder	False	True
935	BACH1	DecreaseAmount	10783	SRSF2	34054975749105812	1	"{""biopax"": 1}"	confounder	False	True
8618	PAX4	DecreaseAmount	962	BAZ2A	-28383663394132144	2	"{""biopax"": 2}"	confounder	False	True
8618	PAX4	DecreaseAmount	10783	SRSF2	13498304947137957	1	"{""biopax"": 1}"	confounder	False	True
8618	PAX4	DecreaseAmount	667	RHOA	-10280060140324815	2	"{""biopax"": 2}"	confounder	False	True
8618	PAX4	DecreaseAmount	4856	HDGF	18496761810208592	1	"{""biopax"": 1}"	confounder	False	True
8618	PAX4	DecreaseAmount	4852	HDAC1	15058634022906291	1	"{""biopax"": 1}"	confounder	False	True
8618	PAX4	DecreaseAmount	1919	CHD4	-982776937867205	1	"{""biopax"": 1}"	confounder	False	True
8618	PAX4	DecreaseAmount	1553	CBX3	21844555487206957	2	"{""biopax"": 2}"	confounder	False	True
8618	PAX4	DecreaseAmount	1103	BRD2	7011133734369182	1	"{""biopax"": 1}"	confounder	False	True
7996	NRF1	DecreaseAmount	667	RHOA	22798814939901107	2	"{""biopax"": 2}"	confounder	False	True
7996	NRF1	DecreaseAmount	10783	SRSF2	24419866351384017	1	"{""biopax"": 1}"	confounder	False	True
7996	NRF1	DecreaseAmount	1103	BRD2	-14644079925029754	1	"{""biopax"": 1}"	confounder	False	True
7996	NRF1	DecreaseAmount	10791	SRSF9	9966379078770550	2	"{""biopax"": 2}"	confounder	False	True
7996	NRF1	DecreaseAmount	16638	SRRM1	29908245326121131	2	"{""biopax"": 2}"	confounder	False	True
7545	MYB	DecreaseAmount	667	RHOA	23041930875841005	1	"{""biopax"": 1}"	confounder	False	True
7545	MYB	IncreaseAmount	10783	SRSF2	27129944146416321	1	"{""medscan"": 1}"	confounder	False	True
7545	MYB	DecreaseAmount	10783	SRSF2	3282853488295915	1	"{""biopax"": 1}"	confounder	False	True
7139	FOXO4	DecreaseAmount	8648	PCBP2	29295710456287508	1	"{""biopax"": 1}"	confounder	False	True
7139	FOXO4	DecreaseAmount	10783	SRSF2	26196731670108949	1	"{""biopax"": 1}"	confounder	False	True
7139	FOXO4	DecreaseAmount	4856	HDGF	-989848079397417	1	"{""biopax"": 1}"	confounder	False	True
7139	FOXO4	DecreaseAmount	3277	EIF3E	34605095818901855	1	"{""biopax"": 1}"	confounder	False	True
7139	FOXO4	DecreaseAmount	1125	BTF3	30723008840812067	1	"{""biopax"": 1}"	confounder	False	True
6914	MAZ	DecreaseAmount	16638	SRRM1	5402975269799624	1	"{""biopax"": 1}"	confounder	False	True
6914	MAZ	DecreaseAmount	10783	SRSF2	-30316597635775894	1	"{""biopax"": 1}"	confounder	False	True
6914	MAZ	DecreaseAmount	1553	CBX3	-33907753765853942	1	"{""biopax"": 1}"	confounder	False	True
