source_hgnc_id	source_hgnc_symbol	relation	target_hgnc_id	target_hgnc_symbol	stmt_hash	evidence_count	source_counts	reason_added	source_observed	target_observed
1103	BRD2	IncreaseAmount	24953	HEXIM1	5587871255670217	1	"{""reach"": 1}"	direct	True	True
9982	RFX1	DecreaseAmount	259	ADM	-29250679731577564	1	"{""biopax"": 1}"	confounder	False	True
9982	RFX1	DecreaseAmount	1103	BRD2	-30204686287200776	1	"{""biopax"": 1}"	confounder	False	True
9884	RB1	DecreaseAmount	9187	POLR2A	4300119308704103	2	"{""biopax"": 2}"	confounder	False	True
9884	RB1	IncreaseAmount	1103	BRD2	-18629028319752340	1	"{""biopax"": 1}"	confounder	False	True
9884	RB1	DecreaseAmount	23847	ZBTB4	-10611953259020513	2	"{""biopax"": 2}"	confounder	False	True
935	BACH1	DecreaseAmount	3999	FTL	33664663408038538	1	"{""bel"": 1}"	confounder	False	True
935	BACH1	DecreaseAmount	1103	BRD2	2670350753737690	1	"{""biopax"": 1}"	confounder	False	True
8618	PAX4	DecreaseAmount	7132	KMT2A	24592399275094495	1	"{""biopax"": 1}"	confounder	False	True
8618	PAX4	DecreaseAmount	1103	BRD2	7011133734369182	1	"{""biopax"": 1}"	confounder	False	True
8618	PAX4	DecreaseAmount	14976	SNX12	-19013575711195521	2	"{""biopax"": 2}"	confounder	False	True
7996	NRF1	DecreaseAmount	9187	POLR2A	27853372060956544	1	"{""biopax"": 1}"	confounder	False	True
7996	NRF1	DecreaseAmount	1103	BRD2	-14644079925029754	1	"{""biopax"": 1}"	confounder	False	True
7996	NRF1	DecreaseAmount	4010	FUS	15392101606506964	2	"{""biopax"": 2}"	confounder	False	True
7996	NRF1	DecreaseAmount	24953	HEXIM1	33748436206166567	2	"{""biopax"": 2}"	confounder	False	True
7996	NRF1	DecreaseAmount	23847	ZBTB4	-6470522080247595	1	"{""biopax"": 1}"	confounder	False	True
7996	NRF1	DecreaseAmount	14976	SNX12	34911711334037391	1	"{""biopax"": 1}"	confounder	False	True
7781	NFE2L1	DecreaseAmount	24953	HEXIM1	25165535997233764	1	"{""biopax"": 1}"	confounder	False	True
7781	NFE2L1	DecreaseAmount	1103	BRD2	-22874894164933021	1	"{""biopax"": 1}"	confounder	False	True
7782	NFE2L2	DecreaseAmount	3999	FTL	35470320886370475	1	"{""reach"": 1}"	confounder	False	True
7782	NFE2L2	DecreaseAmount	1103	BRD2	2463420614849088	1	"{""biopax"": 1}"	confounder	False	True
7782	NFE2L2	IncreaseAmount	3999	FTL	-12027682035470017	5	"{""reach"": 5}"	confounder	False	True
7782	NFE2L2	DecreaseAmount	24953	HEXIM1	-5033070126478064	1	"{""biopax"": 1}"	confounder	False	True
7553	MYC	IncreaseAmount	7132	KMT2A	-33469233628907064	2	"{""reach"": 1, ""medscan"": 1}"	confounder	False	True
7553	MYC	DecreaseAmount	1103	BRD2	-18332013658730493	2	"{""biopax"": 2}"	confounder	False	True
7553	MYC	DecreaseAmount	7132	KMT2A	-6103211752009731	4	"{""biopax"": 4}"	confounder	False	True
7553	MYC	DecreaseAmount	259	ADM	25238298686731957	2	"{""medscan"": 2}"	confounder	False	True
7553	MYC	DecreaseAmount	24953	HEXIM1	-13828183344774628	1	"{""reach"": 1}"	confounder	False	True
7553	MYC	IncreaseAmount	24953	HEXIM1	14048349258903487	1	"{""reach"": 1}"	confounder	False	True
700	ARNT	DecreaseAmount	7132	KMT2A	-5536289971883774	1	"{""biopax"": 1}"	confounder	False	True
700	ARNT	DecreaseAmount	1103	BRD2	-24443462947954037	2	"{""biopax"": 2}"	confounder	False	True
700	ARNT	IncreaseAmount	259	ADM	24309808503068830	1	"{""biopax"": 1}"	confounder	False	True
6914	MAZ	DecreaseAmount	14976	SNX12	-23038987149119196	1	"{""biopax"": 1}"	confounder	False	True
6914	MAZ	DecreaseAmount	1103	BRD2	34123774003114641	1	"{""biopax"": 1}"	confounder	False	True
6914	MAZ	DecreaseAmount	9187	POLR2A	28684701313421781	1	"{""biopax"": 1}"	confounder	False	True
6914	MAZ	DecreaseAmount	7132	KMT2A	35907242880895872	1	"{""biopax"": 1}"	confounder	False	True
6914	MAZ	DecreaseAmount	4010	FUS	20053622023526743	1	"{""biopax"": 1}"	confounder	False	True
6914	MAZ	DecreaseAmount	24953	HEXIM1	6832935282012389	2	"{""biopax"": 2}"	confounder	False	True
6914	MAZ	DecreaseAmount	23847	ZBTB4	22330992801005194	1	"{""biopax"": 1}"	confounder	False	True
6913	MAX	DecreaseAmount	7132	KMT2A	-26247817375808563	3	"{""biopax"": 3}"	confounder	False	True
6913	MAX	DecreaseAmount	1103	BRD2	-19501545742666157	1	"{""biopax"": 1}"	confounder	False	True
6781	MAFG	DecreaseAmount	14976	SNX12	-21756542323003948	1	"{""biopax"": 1}"	confounder	False	True
6781	MAFG	DecreaseAmount	1103	BRD2	-30883859475014454	2	"{""biopax"": 2}"	confounder	False	True
6204	JUN	DecreaseAmount	259	ADM	27075771143454752	1	"{""biopax"": 1}"	confounder	False	True
6204	JUN	DecreaseAmount	1103	BRD2	4148406391081828	3	"{""biopax"": 3}"	confounder	False	True
6204	JUN	DecreaseAmount	24953	HEXIM1	-26894937592581502	2	"{""biopax"": 2}"	confounder	False	True
6081	INS	DecreaseAmount	3999	FTL	1010580887908400	1	"{""reach"": 1}"	confounder	False	True
6081	INS	IncreaseAmount	1103	BRD2	-16761421875813267	4	"{""reach"": 4}"	confounder	False	True
6081	INS	IncreaseAmount	3999	FTL	33902983734350044	5	"{""reach"": 5}"	confounder	False	True
6081	INS	DecreaseAmount	259	ADM	-26840361085992455	1	"{""reach"": 1}"	confounder	False	True
3240	EGR3	DecreaseAmount	4010	FUS	20486832995213173	1	"{""biopax"": 1}"	confounder	False	True
3240	EGR3	DecreaseAmount	1103	BRD2	-13316205735766796	1	"{""biopax"": 1}"	confounder	False	True
3239	EGR2	DecreaseAmount	4010	FUS	-11743166466806081	1	"{""biopax"": 1}"	confounder	False	True
3239	EGR2	DecreaseAmount	1103	BRD2	-6080728466375224	1	"{""biopax"": 1}"	confounder	False	True
3238	EGR1	DecreaseAmount	4010	FUS	-35523560454970983	1	"{""biopax"": 1}"	confounder	False	True
3238	EGR1	DecreaseAmount	1103	BRD2	-24530125798319729	2	"{""biopax"": 2}"	confounder	False	True
24456	DNER	IncreaseAmount	7132	KMT2A	18173373718968211	1	"{""reach"": 1}"	confounder	False	True
24456	DNER	IncreaseAmount	1103	BRD2	30928742281675973	1	"{""reach"": 1}"	confounder	False	True
24456	DNER	IncreaseAmount	24953	HEXIM1	27186845835926139	1	"{""reach"": 1}"	confounder	False	True
24456	DNER	DecreaseAmount	1103	BRD2	3075104102345979	1	"{""reach"": 1}"	confounder	False	True
1833	CEBPA	DecreaseAmount	259	ADM	-14102923268670844	1	"{""biopax"": 1}"	confounder	False	True
1833	CEBPA	DecreaseAmount	1103	BRD2	3288792734377812	1	"{""biopax"": 1}"	confounder	False	True
1833	CEBPA	DecreaseAmount	24953	HEXIM1	29657213502294613	1	"{""biopax"": 1}"	confounder	False	True
1833	CEBPA	DecreaseAmount	14976	SNX12	18409692623127768	2	"{""biopax"": 2}"	confounder	False	True
13575	BRD4	IncreaseAmount	9187	POLR2A	32103880558993088	1	"{""medscan"": 1}"	confounder	False	True
13575	BRD4	DecreaseAmount	1103	BRD2	24950175850600212	1	"{""reach"": 1}"	confounder	False	True
13575	BRD4	DecreaseAmount	24953	HEXIM1	-32776908248277798	1	"{""reach"": 1}"	confounder	False	True
13575	BRD4	DecreaseAmount	1103	BRD2	31017261071414234	1	"{""reach"": 1}"	confounder	False	True
11825	NKX2-1	DecreaseAmount	24953	HEXIM1	-11090835213861517	1	"{""biopax"": 1}"	confounder	False	True
11825	NKX2-1	DecreaseAmount	1103	BRD2	22513707733861963	1	"{""biopax"": 1}"	confounder	False	True
11642	ZEB1	DecreaseAmount	24953	HEXIM1	12378678442144326	3	"{""biopax"": 3}"	confounder	False	True
11642	ZEB1	DecreaseAmount	1103	BRD2	3922276846507530	1	"{""biopax"": 1}"	confounder	False	True
11633	TCF3	DecreaseAmount	24953	HEXIM1	33837455507153200	2	"{""biopax"": 2}"	confounder	False	True
11633	TCF3	DecreaseAmount	1103	BRD2	9622482803914135	1	"{""biopax"": 1}"	confounder	False	True
