source_hgnc_id	source_hgnc_symbol	relation	target_hgnc_id	target_hgnc_symbol	stmt_hash	evidence_count	source_counts
7132	KMT2A	IncreaseAmount	1001	BCL6	-32564837860223329	3	"{""reach"": 3}"
4172	GATA3	IncreaseAmount	1001	BCL6	35073863531584107	2	"{""reach"": 2}"
3798	FOSL2	IncreaseAmount	1001	BCL6	-32229345492799589	4	"{""medscan"": 1, ""reach"": 2, ""trrust"": 1}"
3498	MECOM	DecreaseAmount	1001	BCL6	-19626641614929732	1	"{""biopax"": 1}"
1833	CEBPA	DecreaseAmount	1001	BCL6	-18663708957840282	3	"{""biopax"": 3}"
4071	GABPA	DecreaseAmount	30203	WDR83OS	-27468799853114652	1	"{""biopax"": 1}"
3498	MECOM	DecreaseAmount	1917	CHD2	15956322734807531	1	"{""biopax"": 1}"
1833	CEBPA	DecreaseAmount	1917	CHD2	-4689045124113130	3	"{""biopax"": 3}"
12856	YY1	DecreaseAmount	1917	CHD2	8774265465265914	2	"{""biopax"": 2}"
11955	ZNF384	DecreaseAmount	1917	CHD2	12160797063943894	1	"{""biopax"": 1}"
16618	MRPS34	IncreaseAmount	16650	MRPL44	27629098005519747	1	"{""reach"": 1}"
3498	MECOM	DecreaseAmount	10783	SRSF2	-5121044546069089	1	"{""biopax"": 1}"
1833	CEBPA	DecreaseAmount	10783	SRSF2	-35798142603721617	1	"{""biopax"": 1}"
12856	YY1	DecreaseAmount	10783	SRSF2	-29928929427175672	2	"{""biopax"": 2}"
1833	CEBPA	DecreaseAmount	28720	CSTPP1	-16474528402756891	1	"{""biopax"": 1}"
4071	GABPA	DecreaseAmount	17870	INVS	-6520638726666858	1	"{""biopax"": 1}"
2082	CLOCK	IncreaseAmount	23682	PLPP6	16410812488828300	1	"{""reach"": 1}"
1833	CEBPA	DecreaseAmount	18008	NXN	-21384119843261000	1	"{""biopax"": 1}"
4071	GABPA	DecreaseAmount	26525	C16orf46	-17726651479219382	1	"{""biopax"": 1}"
1833	CEBPA	DecreaseAmount	28802	C18orf21	-22990913802483135	1	"{""biopax"": 1}"
1833	CEBPA	DecreaseAmount	28843	GPBP1L1	3005745204752924	1	"{""biopax"": 1}"
4071	GABPA	DecreaseAmount	2734	DDX1	22002387036070591	1	"{""biopax"": 1}"
1833	CEBPA	DecreaseAmount	25422	ATP13A4	11366229495308296	1	"{""biopax"": 1}"
6556	LETM1	IncreaseAmount	8800	PDGFB	-31301237993284993	1	"{""reach"": 1}"
3942	MTOR	IncreaseAmount	8800	PDGFB	6608074110658493	1	"{""reach"": 1}"
1833	CEBPA	DecreaseAmount	8800	PDGFB	-1631802697055380	3	"{""biopax"": 3}"
11955	ZNF384	DecreaseAmount	8800	PDGFB	5565614677540013	1	"{""biopax"": 1}"
11769	TGFB3	IncreaseAmount	8800	PDGFB	18454909815250704	1	"{""reach"": 1}"
1001	BCL6	IncreaseAmount	7547	MYBL1	15923710809347699	1	"{""reach"": 1}"
7976	NR2F2	DecreaseAmount	10700	SEC22B	8172080115753295	1	"{""biopax"": 1}"
4172	GATA3	IncreaseAmount	13450	BANP	21858273353098898	2	"{""reach"": 2}"
1833	CEBPA	DecreaseAmount	12820	REXO4	7330788890958985	1	"{""biopax"": 1}"
3815	FOXI1	DecreaseAmount	17117	SLC35C2	24980864740020937	1	"{""biopax"": 1}"
3498	MECOM	DecreaseAmount	6533	LDB2	5872924729556623	1	"{""biopax"": 1}"
777	ZFHX3	IncreaseAmount	10586	SCN1B	-9108997893812023	1	"{""reach"": 1}"
7976	NR2F2	DecreaseAmount	9571	PSMF1	-9420162843261250	1	"{""biopax"": 1}"
4071	GABPA	DecreaseAmount	17298	BRF2	-17517142316743353	1	"{""biopax"": 1}"
1833	CEBPA	DecreaseAmount	1103	BRD2	3288792734377812	1	"{""biopax"": 1}"
30141	ALKBH3	IncreaseAmount	882	ATR	-9722265478431707	1	"{""reach"": 1}"
28862	NIPBL	IncreaseAmount	882	ATR	19546008983521399	1	"{""reach"": 1}"
1888	CGGBP1	DecreaseAmount	882	ATR	-32803846488562779	1	"{""medscan"": 1}"
10474	RUVBL1	DecreaseAmount	882	ATR	14884819562564007	1	"{""reach"": 1}"
10474	RUVBL1	IncreaseAmount	882	ATR	7006957997762669	1	"{""reach"": 1}"
1001	BCL6	IncreaseAmount	882	ATR	-8321266645583142	1	"{""reach"": 1}"
1001	BCL6	DecreaseAmount	882	ATR	30518180245201317	1	"{""reach"": 1}"
1001	BCL6	DecreaseAmount	882	ATR	-33441605405784186	4	"{""medscan"": 1, ""reach"": 3}"
7774	NFAT5	IncreaseAmount	19205	STIM2	-17532844692068598	1	"{""reach"": 1}"
4172	GATA3	DecreaseAmount	11406	STK3	-6817834212225024	1	"{""reach"": 1}"
17170	TRUB2	IncreaseAmount	26505	PUS10	16682761219393504	1	"{""reach"": 1}"
4071	GABPA	DecreaseAmount	17103	TNPO3	-28169763908705203	1	"{""biopax"": 1}"
11201	SOX5	DecreaseAmount	17103	TNPO3	-22973233463510941	1	"{""biopax"": 1}"
1833	CEBPA	DecreaseAmount	9470	PRRG2	-9820480464393118	1	"{""biopax"": 1}"
10329	RPL27A	DecreaseAmount	10387	RPS14	-29110983754423033	1	"{""reach"": 1}"
4071	GABPA	DecreaseAmount	977	BCAT2	24015082087281163	2	"{""biopax"": 2}"
1833	CEBPA	DecreaseAmount	13503	ZBTB20	968478563076653	4	"{""biopax"": 4}"
11955	ZNF384	DecreaseAmount	13503	ZBTB20	17687007188974656	1	"{""biopax"": 1}"
8896	PGK1	IncreaseAmount	17843	TGS1	-32773424058115162	1	"{""reach"": 1}"
4071	GABPA	DecreaseAmount	10080	RNPS1	-4890214478856071	2	"{""biopax"": 2}"
4071	GABPA	DecreaseAmount	23761	KBTBD4	22390164894279823	1	"{""biopax"": 1}"
12856	YY1	DecreaseAmount	26742	NAT8L	35380497639007294	2	"{""biopax"": 2}"
4071	GABPA	DecreaseAmount	30960	ZER1	-5464991907644229	1	"{""biopax"": 1}"
13390	NIF3L1	IncreaseAmount	30747	COPS2	-10280218551002203	1	"{""medscan"": 1}"
1833	CEBPA	DecreaseAmount	17946	NOSIP	-10672717311034396	1	"{""biopax"": 1}"
7975	NR2F1	IncreaseAmount	13221	BCL11A	31863933706822646	1	"{""reach"": 1}"
7784	NFIA	IncreaseAmount	13221	BCL11A	35204248859462909	1	"{""reach"": 1}"
7784	NFIA	DecreaseAmount	13221	BCL11A	14669568177615946	1	"{""reach"": 1}"
3498	MECOM	DecreaseAmount	13221	BCL11A	-31382343692087179	1	"{""biopax"": 1}"
1833	CEBPA	DecreaseAmount	13221	BCL11A	-6697367781055018	1	"{""biopax"": 1}"
12856	YY1	DecreaseAmount	13221	BCL11A	21141678732657559	1	"{""biopax"": 1}"
11955	ZNF384	DecreaseAmount	13221	BCL11A	5462643118301521	1	"{""biopax"": 1}"
11201	SOX5	DecreaseAmount	13221	BCL11A	10523688682127142	1	"{""biopax"": 1}"
14620	TES	DecreaseAmount	6401	TNPO1	-35851593373939077	1	"{""reach"": 1}"
4071	GABPA	DecreaseAmount	28384	C3orf38	-477952788796325	1	"{""biopax"": 1}"
11955	ZNF384	DecreaseAmount	17485	PPP2R3C	-10712851739355522	1	"{""biopax"": 1}"
4071	GABPA	DecreaseAmount	10328	RPL27	20939325442315350	1	"{""biopax"": 1}"
4071	GABPA	DecreaseAmount	13593	FBXO22	19389418139512345	1	"{""biopax"": 1}"
4071	GABPA	DecreaseAmount	10401	RPS18	-16654759103211421	1	"{""biopax"": 1}"
1833	CEBPA	DecreaseAmount	3719	FKBP3	17805986982445690	1	"{""biopax"": 1}"
4071	GABPA	DecreaseAmount	571	AP3S2	-31707970495687972	1	"{""biopax"": 1}"
4071	GABPA	DecreaseAmount	17944	EXOSC3	12154877776331595	1	"{""biopax"": 1}"
4172	GATA3	DecreaseAmount	7380	MST1	13123674999803992	1	"{""reach"": 1}"
7132	KMT2A	DecreaseAmount	5542	IGHMBP2	-14535126155170263	1	"{""medscan"": 1}"
4071	GABPA	DecreaseAmount	17157	EDC4	-27970139784954047	2	"{""biopax"": 2}"
7132	KMT2A	DecreaseAmount	5129	HOXC8	-28628798782959689	1	"{""reach"": 1}"
7132	KMT2A	IncreaseAmount	5129	HOXC8	-34453579573114749	2	"{""reach"": 2}"
7132	KMT2A	DecreaseAmount	5129	HOXC8	-23928063270459372	1	"{""medscan"": 1}"
4071	GABPA	DecreaseAmount	28201	TMEM128	-7707299309153684	1	"{""biopax"": 1}"
11955	ZNF384	DecreaseAmount	24586	METTL9	-23339946392018226	1	"{""biopax"": 1}"
4071	GABPA	DecreaseAmount	26273	ZNF768	27616246032972026	1	"{""biopax"": 1}"
4071	GABPA	DecreaseAmount	17718	SEC11A	17675098889258787	2	"{""biopax"": 2}"
11955	ZNF384	DecreaseAmount	1008	BCL9	-28539703756518042	1	"{""biopax"": 1}"
3189	EEF1A1	IncreaseAmount	13597	FBXW8	27671083042831745	1	"{""signor"": 1}"
25458	MFSD11	DecreaseAmount	95	SLC33A1	34361619767742089	2	"{""reach"": 2}"
4071	GABPA	DecreaseAmount	29004	ZNF646	31579577310451724	1	"{""biopax"": 1}"
12856	YY1	DecreaseAmount	29004	ZNF646	285594777841683	2	"{""biopax"": 2}"
11201	SOX5	DecreaseAmount	29004	ZNF646	11623756259052857	1	"{""biopax"": 1}"
3942	MTOR	DecreaseAmount	11655	TCP1	-8146000048129078	1	"{""reach"": 1}"
4071	GABPA	DecreaseAmount	25518	YJU2	22935503101636151	1	"{""biopax"": 1}"
4071	GABPA	DecreaseAmount	28862	NIPBL	3750848151362245	2	"{""biopax"": 2}"
3815	FOXI1	DecreaseAmount	28862	NIPBL	10696058565135094	1	"{""biopax"": 1}"
11201	SOX5	DecreaseAmount	28862	NIPBL	34193832551185974	1	"{""biopax"": 1}"
4071	GABPA	DecreaseAmount	26184	TUT1	26243559796863577	1	"{""biopax"": 1}"
4071	GABPA	DecreaseAmount	13093	ZSCAN20	-17559018422461887	2	"{""biopax"": 2}"
12856	YY1	DecreaseAmount	10441	RPS8	34797995845489746	2	"{""biopax"": 2}"
13356	MCOLN1	IncreaseAmount	8765	PDCD6	32099679258666277	1	"{""reach"": 1}"
1833	CEBPA	DecreaseAmount	7774	NFAT5	2577149567740406	1	"{""biopax"": 1}"
3942	MTOR	IncreaseAmount	3296	EIF4G1	-34419762065308799	1	"{""reach"": 1}"
7976	NR2F2	DecreaseAmount	29000	C2CD2L	-1693264928558491	1	"{""biopax"": 1}"
4071	GABPA	DecreaseAmount	29000	C2CD2L	-29897108812805698	1	"{""biopax"": 1}"
7774	NFAT5	DecreaseAmount	381	AKR1B1	34856806386681608	2	"{""reach"": 2}"
7774	NFAT5	IncreaseAmount	381	AKR1B1	-21485844122239881	8	"{""reach"": 8}"
7774	NFAT5	IncreaseAmount	381	AKR1B1	19628846630903299	1	"{""reach"": 1}"
9888	RBBP5	IncreaseAmount	7132	KMT2A	19775228989051036	1	"{""reach"": 1}"
5129	HOXC8	IncreaseAmount	7132	KMT2A	-4114946398088727	1	"{""reach"": 1}"
17772	TXN2	DecreaseAmount	7132	KMT2A	-5567520978137925	1	"{""medscan"": 1}"
1001	BCL6	IncreaseAmount	7132	KMT2A	10005450895024131	1	"{""reach"": 1}"
4071	GABPA	DecreaseAmount	2183	VPS13B	-14962360502043487	2	"{""biopax"": 2}"
11955	ZNF384	DecreaseAmount	2183	VPS13B	28922786667897311	1	"{""biopax"": 1}"
8140	OPA1	IncreaseAmount	25458	MFSD11	26607394386810886	1	"{""reach"": 1}"
30306	PHB2	DecreaseAmount	25458	MFSD11	31172180838599841	1	"{""reach"": 1}"
10404	RPS2	IncreaseAmount	25458	MFSD11	33786579641455750	1	"{""reach"": 1}"
3815	FOXI1	DecreaseAmount	15998	NAV3	5002328314100767	1	"{""biopax"": 1}"
1833	CEBPA	DecreaseAmount	1928	FOXN3	-7226796445912546	4	"{""biopax"": 4}"
12856	YY1	DecreaseAmount	1928	FOXN3	29025806408449848	1	"{""biopax"": 1}"
12856	YY1	DecreaseAmount	24523	ZZZ3	13828749733655778	2	"{""biopax"": 2}"
11955	ZNF384	DecreaseAmount	16691	TUBGCP4	-23294948202625031	1	"{""biopax"": 1}"
1581	CCNC	DecreaseAmount	7669	NCOA2	7811785587069949	1	"{""medscan"": 1}"
12856	YY1	IncreaseAmount	16946	P3H4	18491533679149897	1	"{""reach"": 1}"
3942	MTOR	DecreaseAmount	24966	MAF1	-33866012307932096	3	"{""medscan"": 3}"
12856	YY1	DecreaseAmount	9900	RBM3	21877798221896431	2	"{""biopax"": 2}"
95	SLC33A1	DecreaseAmount	3189	EEF1A1	8811981925605336	1	"{""reach"": 1}"
