source_hgnc_id	source_hgnc_symbol	relation	target_hgnc_id	target_hgnc_symbol	stmt_hash	evidence_count	source_counts
28441	GABPB2	DecreaseAmount	8980	PIK3R2	78268834798909	1	"{""biopax"": 1}"
11283	SRC	IncreaseAmount	8980	PIK3R2	-26999064389696591	1	"{""reach"": 1}"
9801	RAC1	IncreaseAmount	9726	PYGM	13911794122428054	1	"{""medscan"": 1}"
5360	ID1	DecreaseAmount	9858	RAP1GAP	-20049659785643879	1	"{""reach"": 1}"
11283	SRC	DecreaseAmount	9858	RAP1GAP	-17978940387595956	1	"{""medscan"": 1}"
483	ANG	DecreaseAmount	1664	SCARB1	-2382535941651682	1	"{""reach"": 1}"
31532	MIR145	IncreaseAmount	1664	SCARB1	-18609470941580685	1	"{""reach"": 1}"
19137	CD276	IncreaseAmount	12828	XRCC1	-3290101418470770	2	"{""reach"": 2}"
2095	CLU	IncreaseAmount	8125	OGG1	32328953107910073	1	"{""reach"": 1}"
12828	XRCC1	IncreaseAmount	8125	OGG1	-9387176124390306	1	"{""reach"": 1}"
4170	GATA1	IncreaseAmount	1712	CDA	25900911815529480	1	"{""trrust"": 1}"
4170	GATA1	DecreaseAmount	1712	CDA	19855576218544321	1	"{""reach"": 1}"
29330	METTL14	DecreaseAmount	1712	CDA	836835206703668	1	"{""reach"": 1}"
29330	METTL14	IncreaseAmount	1712	CDA	11578785746746581	1	"{""reach"": 1}"
7985	NR6A1	DecreaseAmount	19960	KIAA0586	-31092838934702067	1	"{""biopax"": 1}"
6467	KTN1	DecreaseAmount	15759	ADRM1	-10067255218115072	1	"{""reach"": 1}"
914	B2M	DecreaseAmount	4962	HLA-E	-20417501384581714	1	"{""medscan"": 1}"
7067	CIITA	IncreaseAmount	4962	HLA-E	12778986123511311	1	"{""signor"": 1}"
8091	OAT	IncreaseAmount	2095	CLU	-28828297721992360	1	"{""reach"": 1}"
483	ANG	DecreaseAmount	2095	CLU	23069246448754558	1	"{""reach"": 1}"
4170	GATA1	DecreaseAmount	2095	CLU	-20146903960915939	2	"{""biopax"": 2}"
25282	NIBAN2	IncreaseAmount	2095	CLU	-26720273726143415	1	"{""reach"": 1}"
25282	NIBAN2	IncreaseAmount	2095	CLU	-4953181556413751	1	"{""reach"": 1}"
25282	NIBAN2	DecreaseAmount	2095	CLU	10093754439078741	1	"{""reach"": 1}"
9053	PLAUR	DecreaseAmount	1630	CD151	-35294461401127818	1	"{""medscan"": 1}"
3750	FLII	DecreaseAmount	1630	CD151	-34916951957308071	1	"{""reach"": 1}"
2527	CTSB	DecreaseAmount	1630	CD151	12241717527664616	1	"{""medscan"": 1}"
3584	FANCC	DecreaseAmount	3951	FXN	13911343513270281	1	"{""reach"": 1}"
3584	FANCC	IncreaseAmount	3951	FXN	-31409764937349963	1	"{""reach"": 1}"
