source_hgnc_id	source_hgnc_symbol	relation	target_hgnc_id	target_hgnc_symbol	stmt_hash	evidence_count	source_counts
1937	CHKA	IncreaseAmount	2514	CTNNB1	-13112481831175497	1	"{""reach"": 1}"
1937	CHKA	IncreaseAmount	2514	CTNNB1	5320300746411899	1	"{""reach"": 1}"
18058	STARD4	IncreaseAmount	11290	SREBF2	15337074055873426	1	"{""reach"": 1}"
18058	STARD4	DecreaseAmount	11290	SREBF2	-33889842682663752	1	"{""reach"": 1}"
2095	CLU	IncreaseAmount	9236	PPARG	20009889773317512	1	"{""reach"": 1}"
2095	CLU	DecreaseAmount	3631	FDPS	8766591147718486	1	"{""reach"": 1}"
2095	CLU	IncreaseAmount	3631	FDPS	-8792016839933775	1	"{""reach"": 1}"
11863	TM7SF2	DecreaseAmount	6188	JAG1	-31318247657150965	1	"{""reach"": 1}"
1550	CBS	IncreaseAmount	6563	LGALS3	7449864210526852	1	"{""reach"": 1}"
13398	NSDHL	IncreaseAmount	6547	LDLR	27696923629358646	1	"{""reach"": 1}"
6677	LPL	DecreaseAmount	9236	PPARG	-12801890528609170	1	"{""reach"": 1}"
6677	LPL	IncreaseAmount	9236	PPARG	-4006659441567199	4	"{""reach"": 4}"
6677	LPL	IncreaseAmount	3594	FASN	1469617814578993	1	"{""reach"": 1}"
6677	LPL	IncreaseAmount	2514	CTNNB1	-14245354099528561	1	"{""reach"": 1}"
7529	MVD	DecreaseAmount	5006	HMGCR	26488253436078762	1	"{""reach"": 1}"
7529	MVD	DecreaseAmount	11290	SREBF2	-566741983353996	1	"{""reach"": 1}"
1709	CD9	IncreaseAmount	400	ALCAM	-25655530994255481	1	"{""reach"": 1}"
1709	CD9	DecreaseAmount	2514	CTNNB1	32442214524032265	2	"{""reach"": 2}"
1709	CD9	IncreaseAmount	2514	CTNNB1	-18404906483379349	1	"{""medscan"": 1}"
9236	PPARG	DecreaseAmount	9053	PLAUR	32591885180958805	1	"{""reach"": 1}"
9236	PPARG	IncreaseAmount	6677	LPL	-31033895784386639	2	"{""reach"": 2}"
9236	PPARG	IncreaseAmount	6677	LPL	31720819262295553	1	"{""reach"": 1}"
9236	PPARG	IncreaseAmount	6677	LPL	28582138303260251	1	"{""bel"": 1}"
9236	PPARG	DecreaseAmount	6677	LPL	20130376046616894	5	"{""medscan"": 1, ""reach"": 4}"
9236	PPARG	IncreaseAmount	6677	LPL	-28174434973867903	36	"{""medscan"": 2, ""reach"": 33, ""sparser"": 1}"
9236	PPARG	IncreaseAmount	6547	LDLR	-6379690759821902	5	"{""reach"": 5}"
9236	PPARG	DecreaseAmount	6547	LDLR	-17897535121839860	2	"{""reach"": 2}"
