source_hgnc_id	source_hgnc_symbol	relation	target_hgnc_id	target_hgnc_symbol	stmt_hash	evidence_count	source_counts
14068	HDAC5	IncreaseAmount	7881	NOTCH1	7025326979429492	3	"{""reach"": 3}"
14068	HDAC5	DecreaseAmount	7881	NOTCH1	9615306139318870	1	"{""reach"": 1}"
14068	HDAC5	IncreaseAmount	7881	NOTCH1	-34611355979989200	1	"{""reach"": 1}"
14068	HDAC5	IncreaseAmount	4853	HDAC2	16141680915147813	1	"{""reach"": 1}"
14068	HDAC5	DecreaseAmount	2514	CTNNB1	-18825539882793142	1	"{""reach"": 1}"
14068	HDAC5	DecreaseAmount	11998	TP53	-28621974344924707	1	"{""medscan"": 1}"
8060	NUMB	DecreaseAmount	7881	NOTCH1	-30669671931938547	5	"{""reach"": 4, ""signor"": 1}"
8060	NUMB	IncreaseAmount	7881	NOTCH1	-11899950654867454	3	"{""reach"": 3}"
8060	NUMB	DecreaseAmount	7881	NOTCH1	-5891156920300880	1	"{""reach"": 1}"
8060	NUMB	IncreaseAmount	7553	MYC	-115460961420655	1	"{""reach"": 1}"
8060	NUMB	DecreaseAmount	4880	HEY1	28164331852440397	1	"{""reach"": 1}"
8060	NUMB	IncreaseAmount	2514	CTNNB1	-28640581618244220	1	"{""reach"": 1}"
8060	NUMB	IncreaseAmount	11998	TP53	27164253733345583	1	"{""reach"": 1}"
8060	NUMB	IncreaseAmount	11998	TP53	-26263402032658318	4	"{""reach"": 4}"
2894	DKK4	IncreaseAmount	2514	CTNNB1	-15460917832162699	1	"{""reach"": 1}"
2894	DKK4	DecreaseAmount	2514	CTNNB1	18495828780666260	2	"{""reach"": 2}"
2894	DKK4	DecreaseAmount	2514	CTNNB1	28420708948146902	2	"{""reach"": 2}"
7553	MYC	IncreaseAmount	4201	KAT2A	5469499513858639	5	"{""medscan"": 1, ""reach"": 4}"
7553	MYC	DecreaseAmount	12774	WNT1	-13412080213982136	4	"{""biopax"": 1, ""reach"": 3}"
7553	MYC	IncreaseAmount	12774	WNT1	1409869380717520	1	"{""reach"": 1}"
7553	MYC	IncreaseAmount	11998	TP53	-9337621837103855	1	"{""biopax"": 1}"
7553	MYC	DecreaseAmount	11998	TP53	28426074425213917	1	"{""reach"": 1}"
7553	MYC	DecreaseAmount	11998	TP53	33989825561815047	2	"{""reach"": 2}"
7553	MYC	IncreaseAmount	11998	TP53	635067843549689	7	"{""reach"": 7}"
7553	MYC	DecreaseAmount	11998	TP53	-5101258274918255	13	"{""medscan"": 1, ""reach"": 11, ""biopax"": 1}"
7553	MYC	IncreaseAmount	11998	TP53	-24219663616395621	36	"{""medscan"": 2, ""reach"": 31, ""isi"": 2, ""trrust"": 1}"
7553	MYC	IncreaseAmount	3086	DVL2	-25655165312170457	1	"{""reach"": 1}"
7553	MYC	DecreaseAmount	3086	DVL2	6115002634600820	1	"{""biopax"": 1}"
7553	MYC	DecreaseAmount	11639	TCF7	-13071780677877444	1	"{""reach"": 1}"
7553	MYC	DecreaseAmount	2891	DKK1	-1284838429045212	1	"{""signor"": 1}"
7553	MYC	DecreaseAmount	2891	DKK1	-20657057139473698	2	"{""biopax"": 1, ""trrust"": 1}"
7553	MYC	DecreaseAmount	9585	PTCH1	32512169163717451	3	"{""biopax"": 3}"
7553	MYC	DecreaseAmount	9509	PSEN2	17921627289111723	2	"{""biopax"": 2}"
7553	MYC	IncreaseAmount	2551	CUL1	-34428245712807099	1	"{""signor"": 1}"
