source_hgnc_id	source_hgnc_symbol	relation	target_hgnc_id	target_hgnc_symbol	stmt_hash	evidence_count	source_counts
31486	MIRLET7I	DecreaseAmount	4983	HMGB1	22201695284170262	1	"{""medscan"": 1}"
9232	PPARA	IncreaseAmount	4983	HMGB1	-26109929523949483	1	"{""reach"": 1}"
9224	POU6F1	DecreaseAmount	4661	GTF2IRD1	14994456282710487	1	"{""biopax"": 1}"
9212	POU2F1	IncreaseAmount	587	APEX1	-9628271637551361	1	"{""medscan"": 1}"
9212	POU2F1	DecreaseAmount	4983	HMGB1	-16021742101608771	1	"{""biopax"": 1}"
9212	POU2F1	DecreaseAmount	12370	CEP41	30066328058745721	5	"{""biopax"": 5}"
9210	POU1F1	DecreaseAmount	29535	MTF2	-11748276801635549	1	"{""biopax"": 1}"
9005	PITX2	DecreaseAmount	4983	HMGB1	-32426439524618281	2	"{""biopax"": 2}"
9005	PITX2	DecreaseAmount	23096	SLC29A3	-4344701339856497	1	"{""biopax"": 1}"
8618	PAX4	DecreaseAmount	9847	RANBP1	6530921129908931	1	"{""biopax"": 1}"
8618	PAX4	DecreaseAmount	4661	GTF2IRD1	-34026478059319404	1	"{""biopax"": 1}"
8618	PAX4	DecreaseAmount	29535	MTF2	-5679409235270822	1	"{""biopax"": 1}"
8618	PAX4	DecreaseAmount	24974	TRMT2A	31790112338690116	1	"{""biopax"": 1}"
8618	PAX4	DecreaseAmount	1874	CFL1	-27647201539043867	1	"{""biopax"": 1}"
786	ATF4	DecreaseAmount	19180	RNF44	-8463233295967660	1	"{""biopax"": 1}"
7781	NFE2L1	DecreaseAmount	10316	RPL23	20834363956040394	1	"{""biopax"": 1}"
7139	FOXO4	DecreaseAmount	6950	MCM7	-31048773490265530	2	"{""biopax"": 2}"
7139	FOXO4	DecreaseAmount	574	AP4M1	-16591747732583481	2	"{""biopax"": 2}"
7139	FOXO4	DecreaseAmount	13606	KDM2A	29522513360996632	1	"{""biopax"": 1}"
7139	FOXO4	DecreaseAmount	31350	CUEDC1	-2410700096183558	1	"{""biopax"": 1}"
7139	FOXO4	DecreaseAmount	26364	LINC01465	5286559156792298	1	"{""biopax"": 1}"
7139	FOXO4	DecreaseAmount	12370	CEP41	11387799793160673	1	"{""biopax"": 1}"
7139	FOXO4	DecreaseAmount	10316	RPL23	-26277513125902409	1	"{""biopax"": 1}"
7000	MEIS1	DecreaseAmount	30064	PBRM1	-15668219456648752	2	"{""biopax"": 2}"
7000	MEIS1	DecreaseAmount	29931	GNL3	22992403800303800	2	"{""biopax"": 2}"
6914	MAZ	DecreaseAmount	9910	RBMX	28262800900805982	1	"{""biopax"": 1}"
6914	MAZ	DecreaseAmount	6743	CAPRIN1	-23946600257623309	1	"{""biopax"": 1}"
6914	MAZ	DecreaseAmount	19180	RNF44	-14058277373465731	1	"{""biopax"": 1}"
6914	MAZ	DecreaseAmount	1874	CFL1	-16006505937980244	1	"{""biopax"": 1}"
6914	MAZ	DecreaseAmount	13606	KDM2A	17447929123070196	1	"{""biopax"": 1}"
6769	SMAD3	DecreaseAmount	4983	HMGB1	26296706648678459	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	9910	RBMX	-7170486301562708	2	"{""biopax"": 2}"
6551	LEF1	DecreaseAmount	6950	MCM7	3400872975183309	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	6743	CAPRIN1	-32714282496975462	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	587	APEX1	27357182911126818	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	574	AP4M1	-8864671401186391	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	4983	HMGB1	33314209006808144	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	30064	PBRM1	24800639582100414	2	"{""biopax"": 2}"
6551	LEF1	DecreaseAmount	29931	GNL3	-16896817363600428	2	"{""biopax"": 2}"
6551	LEF1	DecreaseAmount	29535	MTF2	-31263847941586662	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	26970	COX20	33128359026707785	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	26726	ZNF565	-15130318703738928	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	26364	LINC01465	23918528436187768	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	19180	RNF44	-23781958576915783	2	"{""biopax"": 2}"
6551	LEF1	DecreaseAmount	18028	OSGEP	-6470849744899698	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	13089	ZNF3	27609025450638442	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	12370	CEP41	-10025089540304794	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	11151	SNRPA	-14084669667954699	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	10774	SFPQ	9535678896301804	1	"{""biopax"": 1}"
644	AR	DecreaseAmount	6950	MCM7	-20658059600984781	1	"{""reach"": 1}"
644	AR	DecreaseAmount	6743	CAPRIN1	-4840627280625015	1	"{""biopax"": 1}"
644	AR	DecreaseAmount	4983	HMGB1	-32608612303171826	1	"{""reach"": 1}"
644	AR	DecreaseAmount	30064	PBRM1	-22433546279271	1	"{""biopax"": 1}"
644	AR	DecreaseAmount	13606	KDM2A	-515693716511506	1	"{""biopax"": 1}"
644	AR	DecreaseAmount	12370	CEP41	10521249730797288	1	"{""biopax"": 1}"
6776	MAF	DecreaseAmount	19180	RNF44	-29113409179721447	1	"{""biopax"": 1}"
5224	HSF1	DecreaseAmount	4983	HMGB1	16192677308045359	1	"{""reach"": 1}"
5224	HSF1	DecreaseAmount	4983	HMGB1	-30209316704668374	2	"{""reach"": 2}"
5021	FOXA1	DecreaseAmount	19180	RNF44	16947857147219595	1	"{""biopax"": 1}"
3821	FOXO3	DecreaseAmount	6950	MCM7	26098091211029358	1	"{""biopax"": 1}"
3821	FOXO3	DecreaseAmount	574	AP4M1	-24397981590733079	1	"{""biopax"": 1}"
4170	GATA1	DecreaseAmount	9910	RBMX	-16882088046163844	1	"{""biopax"": 1}"
3819	FOXO1	DecreaseAmount	6950	MCM7	28206209900169426	1	"{""biopax"": 1}"
3819	FOXO1	DecreaseAmount	574	AP4M1	-11994250383431845	1	"{""biopax"": 1}"
3819	FOXO1	IncreaseAmount	4983	HMGB1	32136287310334541	1	"{""reach"": 1}"
3810	FOXF2	DecreaseAmount	6950	MCM7	-20965184435801299	3	"{""biopax"": 3}"
3810	FOXF2	DecreaseAmount	574	AP4M1	-29048147550477737	3	"{""biopax"": 3}"
3810	FOXF2	DecreaseAmount	31350	CUEDC1	8841168105879127	1	"{""biopax"": 1}"
3489	ETS2	DecreaseAmount	31350	CUEDC1	-18357876425370909	2	"{""biopax"": 2}"
3489	ETS2	DecreaseAmount	10316	RPL23	-32371761678037726	1	"{""biopax"": 1}"
3471	ESRRA	DecreaseAmount	9910	RBMX	-17293800726103569	1	"{""biopax"": 1}"
3471	ESRRA	DecreaseAmount	9847	RANBP1	27236033429695951	1	"{""biopax"": 1}"
3471	ESRRA	DecreaseAmount	4661	GTF2IRD1	-24614256831133030	1	"{""biopax"": 1}"
3471	ESRRA	DecreaseAmount	24974	TRMT2A	-22966893751409453	1	"{""biopax"": 1}"
3471	ESRRA	DecreaseAmount	19180	RNF44	-17438393087467019	1	"{""biopax"": 1}"
3467	ESR1	DecreaseAmount	13606	KDM2A	-28304540899521775	1	"{""biopax"": 1}"
3317	ELF2	DecreaseAmount	9847	RANBP1	25881731669006550	1	"{""biopax"": 1}"
3317	ELF2	DecreaseAmount	29535	MTF2	-24487070895563873	1	"{""biopax"": 1}"
3317	ELF2	DecreaseAmount	24974	TRMT2A	18820835628927346	1	"{""biopax"": 1}"
270	PARP1	IncreaseAmount	4983	HMGB1	25430267758897172	10	"{""reach"": 10}"
270	PARP1	DecreaseAmount	10774	SFPQ	-488902214846536	1	"{""medscan"": 1}"
2557	CUX1	DecreaseAmount	4661	GTF2IRD1	-19015971443684195	1	"{""biopax"": 1}"
2345	CREB1	DecreaseAmount	4983	HMGB1	-13951746502711300	1	"{""biopax"": 1}"
2345	CREB1	DecreaseAmount	19180	RNF44	20478027165244048	7	"{""biopax"": 7}"
1834	CEBPB	DecreaseAmount	12370	CEP41	13851580081265625	1	"{""biopax"": 1}"
1834	CEBPB	DecreaseAmount	31350	CUEDC1	-21923347618337477	2	"{""biopax"": 2}"
1834	CEBPB	DecreaseAmount	29535	MTF2	4361295282290996	1	"{""biopax"": 1}"
1833	CEBPA	DecreaseAmount	12370	CEP41	16837778212962582	2	"{""biopax"": 2}"
1833	CEBPA	DecreaseAmount	31350	CUEDC1	22921135434354369	2	"{""biopax"": 2}"
12950	SF1	DecreaseAmount	9910	RBMX	-25179745572685922	1	"{""biopax"": 1}"
12950	SF1	DecreaseAmount	9847	RANBP1	-22475514076657461	1	"{""biopax"": 1}"
12950	SF1	DecreaseAmount	24974	TRMT2A	-9636281746468049	1	"{""biopax"": 1}"
12856	YY1	DecreaseAmount	9910	RBMX	20897956365421461	2	"{""biopax"": 2}"
12856	YY1	DecreaseAmount	29535	MTF2	-12971091706254337	2	"{""biopax"": 2}"
12856	YY1	DecreaseAmount	28350	ZNF747	2232051657807986	2	"{""biopax"": 2}"
12856	YY1	DecreaseAmount	19180	RNF44	-14753963278843372	1	"{""biopax"": 1}"
12856	YY1	DecreaseAmount	13606	KDM2A	-31682706706280209	2	"{""biopax"": 2}"
12856	YY1	IncreaseAmount	12810	XIST	23494151651531692	2	"{""medscan"": 2}"
12856	YY1	DecreaseAmount	12810	XIST	156364494753808	1	"{""medscan"": 1}"
12856	YY1	DecreaseAmount	10774	SFPQ	-32706541870898651	2	"{""biopax"": 2}"
12723	VSX1	DecreaseAmount	12370	CEP41	-27663093347573179	1	"{""biopax"": 1}"
12679	VDR	DecreaseAmount	29535	MTF2	-13352722350092486	1	"{""biopax"": 1}"
12679	VDR	DecreaseAmount	13606	KDM2A	-17751768953986306	1	"{""biopax"": 1}"
11633	TCF3	DecreaseAmount	6950	MCM7	-5763764076080250	1	"{""biopax"": 1}"
11633	TCF3	DecreaseAmount	6743	CAPRIN1	-15831602844915865	1	"{""biopax"": 1}"
11633	TCF3	DecreaseAmount	574	AP4M1	-21247138500695046	1	"{""biopax"": 1}"
11633	TCF3	DecreaseAmount	31350	CUEDC1	-35095800784567157	2	"{""biopax"": 2}"
11633	TCF3	DecreaseAmount	30064	PBRM1	22196873697719811	1	"{""biopax"": 1}"
11633	TCF3	DecreaseAmount	29931	GNL3	-1163015904974946	1	"{""biopax"": 1}"
11633	TCF3	DecreaseAmount	1874	CFL1	22836248016604808	4	"{""biopax"": 4}"
11633	TCF3	DecreaseAmount	12370	CEP41	-22643173937705893	3	"{""biopax"": 3}"
11621	HNF1A	DecreaseAmount	9910	RBMX	24534235378120884	1	"{""biopax"": 1}"
11621	HNF1A	DecreaseAmount	31350	CUEDC1	1287394879702247	1	"{""biopax"": 1}"
11621	HNF1A	DecreaseAmount	19180	RNF44	-3544653685474356	1	"{""biopax"": 1}"
11621	HNF1A	DecreaseAmount	19074	THOC5	-9043526698989198	1	"{""biopax"": 1}"
11366	STAT5A	DecreaseAmount	29535	MTF2	26809897723393873	1	"{""biopax"": 1}"
11366	STAT5A	DecreaseAmount	12370	CEP41	17131142079057958	1	"{""biopax"": 1}"
11291	SRF	DecreaseAmount	6950	MCM7	-16560273450956216	1	"{""reach"": 1}"
11291	SRF	DecreaseAmount	1874	CFL1	-16390490552426681	5	"{""biopax"": 5}"
11289	SREBF1	DecreaseAmount	18028	OSGEP	-16593078178966261	2	"{""biopax"": 2}"
11289	SREBF1	DecreaseAmount	13606	KDM2A	24024893584314003	1	"{""biopax"": 1}"
11289	SREBF1	DecreaseAmount	11151	SNRPA	27100523326354453	2	"{""biopax"": 2}"
11289	SREBF1	DecreaseAmount	587	APEX1	27388127985644242	2	"{""biopax"": 2}"
11241	SPI1	DecreaseAmount	31350	CUEDC1	32111226385403930	1	"{""biopax"": 1}"
11241	SPI1	DecreaseAmount	13606	KDM2A	7655507117259504	1	"{""biopax"": 1}"
11208	SP3	DecreaseAmount	29535	MTF2	1665054767901051	1	"{""biopax"": 1}"
10258	RORA	DecreaseAmount	4661	GTF2IRD1	22133016537172900	1	"{""biopax"": 1}"
C545476		IncreaseAmount	12810	XIST	11235210397808736	1	"{""ctd"": 1}"
9955	RELA	DecreaseAmount	587	APEX1	-26740781557850861	2	"{""reach"": 2}"
9955	RELA	IncreaseAmount	4931	HLA-A	9403222233045513	1	"{""reach"": 1}"
9955	RELA	IncreaseAmount	4931	HLA-A	-757660579082533	2	"{""medscan"": 1, ""trrust"": 1}"
9955	RELA	DecreaseAmount	31350	CUEDC1	-21016685673060931	1	"{""biopax"": 1}"
7553	MYC	DecreaseAmount	30064	PBRM1	-23995648730945678	2	"{""biopax"": 2}"
7553	MYC	DecreaseAmount	29931	GNL3	1072714069201018	2	"{""biopax"": 2}"
7553	MYC	IncreaseAmount	29931	GNL3	-8931312801234675	1	"{""reach"": 1}"
7553	MYC	IncreaseAmount	29931	GNL3	2435090299768210	9	"{""medscan"": 5, ""reach"": 4}"
7553	MYC	DecreaseAmount	9847	RANBP1	6806535675382196	3	"{""biopax"": 3}"
7553	MYC	DecreaseAmount	26726	ZNF565	-3103972521191295	2	"{""biopax"": 2}"
7553	MYC	DecreaseAmount	24974	TRMT2A	-24647897121630855	3	"{""biopax"": 3}"
7553	MYC	IncreaseAmount	10316	RPL23	-14987620004705385	1	"{""reach"": 1}"
7553	MYC	DecreaseAmount	19180	RNF44	5899227358455552	1	"{""biopax"": 1}"
7553	MYC	DecreaseAmount	1874	CFL1	-22898286699914141	2	"{""biopax"": 2}"
7553	MYC	DecreaseAmount	6950	MCM7	-13792381575145696	1	"{""reach"": 1}"
7553	MYC	IncreaseAmount	6950	MCM7	-27288915292609816	2	"{""reach"": 2}"
7553	MYC	DecreaseAmount	18028	OSGEP	-10917788272408455	1	"{""biopax"": 1}"
7553	MYC	DecreaseAmount	587	APEX1	-1098716056435145	2	"{""medscan"": 1, ""biopax"": 1}"
7553	MYC	DecreaseAmount	4983	HMGB1	-35183600075794928	2	"{""reach"": 2}"
7553	MYC	DecreaseAmount	4931	HLA-A	25146845861328541	1	"{""signor"": 1}"
7553	MYC	IncreaseAmount	4931	HLA-A	28288173777844963	1	"{""trrust"": 1}"
6551	LEF1	DecreaseAmount	1917	CHD2	-31366183375277258	3	"{""biopax"": 3}"
6018	IL6	IncreaseAmount	4983	HMGB1	27218109263308666	7	"{""reach"": 6, ""isi"": 1}"
6018	IL6	DecreaseAmount	4983	HMGB1	1611141000308852	2	"{""reach"": 2}"
11367	STAT5B	DecreaseAmount	12370	CEP41	-32479219581004779	2	"{""biopax"": 2}"
11289	SREBF1	DecreaseAmount	1917	CHD2	32022997274087910	2	"{""biopax"": 2}"
8347	OR5I1	DecreaseAmount	13606	KDM2A	21042455947088224	1	"{""biopax"": 1}"
11850	TLR4	IncreaseAmount	4983	HMGB1	20862129061419763	1	"{""reach"": 1}"
11850	TLR4	DecreaseAmount	4983	HMGB1	-30630841402071528	1	"{""reach"": 1}"
11850	TLR4	DecreaseAmount	4983	HMGB1	6944441329335274	4	"{""reach"": 4}"
11850	TLR4	IncreaseAmount	4983	HMGB1	31167121268225129	15	"{""medscan"": 1, ""reach"": 13, ""isi"": 1}"
6973	MDM2	IncreaseAmount	587	APEX1	-16444802035594287	1	"{""reach"": 1}"
6973	MDM2	IncreaseAmount	587	APEX1	20961379484224814	2	"{""reach"": 2}"
6973	MDM2	IncreaseAmount	10316	RPL23	32323137333563907	2	"{""reach"": 2}"
6973	MDM2	DecreaseAmount	29931	GNL3	-15926756636101515	1	"{""reach"": 1}"
6973	MDM2	DecreaseAmount	29931	GNL3	32416870188547951	1	"{""medscan"": 1}"
4071	GABPA	DecreaseAmount	24974	TRMT2A	23941131381473529	2	"{""biopax"": 2}"
4071	GABPA	DecreaseAmount	19180	RNF44	-24755981618954604	1	"{""biopax"": 1}"
4071	GABPA	DecreaseAmount	9847	RANBP1	22995285960575168	2	"{""biopax"": 2}"
3321	ELK1	DecreaseAmount	6950	MCM7	-32763417039968975	1	"{""biopax"": 1}"
3321	ELK1	DecreaseAmount	574	AP4M1	-34173011961607689	1	"{""biopax"": 1}"
3321	ELK1	DecreaseAmount	12370	CEP41	18553968032974122	1	"{""biopax"": 1}"
28441	GABPB2	DecreaseAmount	9847	RANBP1	26513955745331538	2	"{""biopax"": 2}"
28441	GABPB2	DecreaseAmount	24974	TRMT2A	-7146842473601870	2	"{""biopax"": 2}"
28441	GABPB2	DecreaseAmount	19180	RNF44	25056557722700523	1	"{""biopax"": 1}"
12856	YY1	DecreaseAmount	1917	CHD2	8774265465265914	2	"{""biopax"": 2}"
8347	OR5I1	DecreaseAmount	10762	SETMAR	-13913981910141479	1	"{""biopax"": 1}"
7996	NRF1	DecreaseAmount	1874	CFL1	-24898727387276335	2	"{""biopax"": 2}"
7139	FOXO4	DecreaseAmount	1917	CHD2	9045097724344355	2	"{""biopax"": 2}"
6914	MAZ	DecreaseAmount	1917	CHD2	34377425457088930	1	"{""biopax"": 1}"
644	AR	DecreaseAmount	1917	CHD2	21005783702821413	1	"{""biopax"": 1}"
6116	IRF1	IncreaseAmount	4983	HMGB1	-20252659305797046	1	"{""reach"": 1}"
6116	IRF1	IncreaseAmount	4931	HLA-A	-34871736527579162	4	"{""medscan"": 2, ""trrust"": 1, ""reach"": 1}"
6116	IRF1	IncreaseAmount	30064	PBRM1	-28298680108786652	1	"{""reach"": 1}"
6116	IRF1	DecreaseAmount	10316	RPL23	18302772620544601	1	"{""biopax"": 1}"
4910	HIF1A	DecreaseAmount	6950	MCM7	-19797051070250011	1	"{""reach"": 1}"
4910	HIF1A	IncreaseAmount	587	APEX1	-13267977034806639	1	"{""reach"": 1}"
4910	HIF1A	DecreaseAmount	587	APEX1	-26486807970580642	2	"{""medscan"": 1, ""trrust"": 1}"
4910	HIF1A	IncreaseAmount	4983	HMGB1	21288940816528389	1	"{""reach"": 1}"
4910	HIF1A	IncreaseAmount	1874	CFL1	27668357964746478	2	"{""reach"": 2}"
4662	GTF3A	DecreaseAmount	30064	PBRM1	32521016525247065	1	"{""biopax"": 1}"
4662	GTF3A	DecreaseAmount	29931	GNL3	26502482058950698	1	"{""biopax"": 1}"
348	AHR	DecreaseAmount	1874	CFL1	29828191632268385	1	"{""biopax"": 1}"
348	AHR	IncreaseAmount	1874	CFL1	8555857302012608	1	"{""reach"": 1}"
3467	ESR1	DecreaseAmount	1917	CHD2	34488190735119955	1	"{""biopax"": 1}"
3238	EGR1	IncreaseAmount	4983	HMGB1	8828125788124897	1	"{""reach"": 1}"
3238	EGR1	IncreaseAmount	4983	HMGB1	-29847032705451546	1	"{""reach"": 1}"
3238	EGR1	DecreaseAmount	19180	RNF44	25956493216892678	1	"{""biopax"": 1}"
3121	E4F1	IncreaseAmount	4983	HMGB1	2949566852657910	1	"{""reach"": 1}"
3121	E4F1	DecreaseAmount	4983	HMGB1	33087025945423270	1	"{""biopax"": 1}"
3121	E4F1	DecreaseAmount	30064	PBRM1	25010511555702355	1	"{""biopax"": 1}"
3121	E4F1	DecreaseAmount	29931	GNL3	15653114588360688	1	"{""biopax"": 1}"
3121	E4F1	DecreaseAmount	19180	RNF44	-27675568466004281	1	"{""biopax"": 1}"
3113	E2F1	DecreaseAmount	6950	MCM7	21521287147310275	8	"{""biopax"": 8}"
3113	E2F1	IncreaseAmount	6950	MCM7	-12157205645591586	2	"{""reach"": 2}"
3113	E2F1	DecreaseAmount	574	AP4M1	12796639401508678	8	"{""biopax"": 8}"
