source_hgnc_id,source_hgnc_symbol,relation,target_hgnc_id,target_hgnc_symbol,stmt_hash,evidence_count,source_counts
29535,MTF2,DecreaseAmount,9221,POU5F1,31979032100639781,1,"{""reach"": 1}"
4983,HMGB1,DecreaseAmount,9221,POU5F1,12753048010710162,1,"{""reach"": 1}"
587,APEX1,IncreaseAmount,9221,POU5F1,17702164149226548,2,"{""reach"": 2}"
587,APEX1,IncreaseAmount,9221,POU5F1,-4945501712065171,1,"{""reach"": 1}"
587,APEX1,DecreaseAmount,9221,POU5F1,33428225211191297,1,"{""reach"": 1}"
587,APEX1,DecreaseAmount,7967,NR1H4,19314198987480805,1,"{""reach"": 1}"
587,APEX1,IncreaseAmount,7967,NR1H4,-23193421569276312,1,"{""reach"": 1}"
10774,SFPQ,IncreaseAmount,644,AR,6862595327135560,1,"{""reach"": 1}"
4983,HMGB1,DecreaseAmount,3488,ETS1,32253621090259567,1,"{""reach"": 1}"
29535,MTF2,IncreaseAmount,3188,EED,-17879995226685745,1,"{""reach"": 1}"
4983,HMGB1,IncreaseAmount,270,PARP1,-1849811720757067,2,"{""reach"": 2}"
587,APEX1,DecreaseAmount,270,PARP1,-13930477564590725,1,"{""reach"": 1}"
587,APEX1,DecreaseAmount,270,PARP1,-13031599323497765,1,"{""reach"": 1}"
19074,THOC5,IncreaseAmount,1834,CEBPB,1112660310221329,1,"{""reach"": 1}"
13606,KDM2A,IncreaseAmount,1833,CEBPA,26391503288913378,1,"{""reach"": 1}"
13606,KDM2A,DecreaseAmount,1833,CEBPA,13134541868633686,1,"{""reach"": 1}"
13606,KDM2A,DecreaseAmount,1833,CEBPA,-5944598390012745,3,"{""reach"": 3}"
19074,THOC5,DecreaseAmount,1833,CEBPA,-5888694942896609,1,"{""reach"": 1}"
587,APEX1,DecreaseAmount,1833,CEBPA,29760478864152693,1,"{""reach"": 1}"
587,APEX1,DecreaseAmount,12679,VDR,7918120655381578,1,"{""reach"": 1}"
4983,HMGB1,IncreaseAmount,11621,HNF1A,31073852884225728,1,"{""reach"": 1}"
1874,CFL1,IncreaseAmount,11291,SRF,-34301641661797215,1,"{""reach"": 1}"
4983,HMGB1,IncreaseAmount,11241,SPI1,-4719556453229242,1,"{""medscan"": 1}"
6950,MCM7,IncreaseAmount,CHEBI:45716,RNU7-182P,-29141966753730629,2,"{""reach"": 2}"
587,APEX1,IncreaseAmount,CHEBI:30614,SPATA19,-20555124646852926,1,"{""reach"": 1}"
4983,HMGB1,IncreaseAmount,9955,RELA,-10686235650646203,2,"{""reach"": 2}"
4983,HMGB1,DecreaseAmount,9955,RELA,-1449494874605169,4,"{""reach"": 4}"
4983,HMGB1,IncreaseAmount,9955,RELA,1959448906589539,10,"{""medscan"": 1, ""reach"": 8, ""isi"": 1}"
587,APEX1,IncreaseAmount,9955,RELA,-23689939752219184,1,"{""trrust"": 1}"
587,APEX1,DecreaseAmount,9955,RELA,13780481618542256,1,"{""reach"": 1}"
10774,SFPQ,DecreaseAmount,9955,RELA,-25902630274005396,1,"{""reach"": 1}"
4983,HMGB1,IncreaseAmount,9583,PTBP1,24789016631356097,1,"{""reach"": 1}"
29931,GNL3,DecreaseAmount,7794,NFKB1,1466300070023784,1,"{""reach"": 1}"
4983,HMGB1,IncreaseAmount,7794,NFKB1,-21644424877787362,1,"{""reach"": 1}"
4983,HMGB1,DecreaseAmount,7794,NFKB1,-2605002785780724,1,"{""reach"": 1}"
587,APEX1,IncreaseAmount,7794,NFKB1,6288336214990482,1,"{""trrust"": 1}"
31486,MIRLET7I,DecreaseAmount,7553,MYC,-2009284185098709,1,"{""medscan"": 1}"
6743,CAPRIN1,DecreaseAmount,7553,MYC,-4666540466977596,1,"{""medscan"": 1}"
6743,CAPRIN1,IncreaseAmount,7553,MYC,27026590462464201,1,"{""medscan"": 1}"
4983,HMGB1,IncreaseAmount,7553,MYC,32501234765145525,1,"{""reach"": 1}"
4983,HMGB1,IncreaseAmount,7553,MYC,-35333892786358692,1,"{""reach"": 1}"
587,APEX1,DecreaseAmount,7553,MYC,5800538718269287,1,"{""reach"": 1}"
587,APEX1,IncreaseAmount,7553,MYC,-15509550025978328,1,"{""medscan"": 1}"
10774,SFPQ,IncreaseAmount,7553,MYC,-26236953561031785,1,"{""medscan"": 1}"
4983,HMGB1,IncreaseAmount,7156,MMP10,920390928615030,2,"{""sparser"": 2}"
4661,GTF2IRD1,DecreaseAmount,6771,SMAD5,-33173383852779589,4,"{""reach"": 4}"
13606,KDM2A,DecreaseAmount,6401,TNPO1,-17075946507150927,1,"{""reach"": 1}"
587,APEX1,IncreaseAmount,620,APP,3923585328766495,1,"{""reach"": 1}"
4983,HMGB1,IncreaseAmount,6024,IL7R,989460094060081,1,"{""medscan"": 1}"
31486,MIRLET7I,DecreaseAmount,6018,IL6,10443503715693865,1,"{""medscan"": 1}"
4983,HMGB1,DecreaseAmount,6018,IL6,-2769240422337557,7,"{""reach"": 7}"
4983,HMGB1,IncreaseAmount,6018,IL6,-10927811779315116,72,"{""medscan"": 11, ""reach"": 59, ""sparser"": 2}"
587,APEX1,DecreaseAmount,6018,IL6,6495421243122009,1,"{""reach"": 1}"
587,APEX1,DecreaseAmount,6018,IL6,33310180603934413,1,"{""reach"": 1}"
587,APEX1,IncreaseAmount,6018,IL6,-17977942952197254,3,"{""reach"": 3}"
30064,PBRM1,IncreaseAmount,6018,IL6,-14468778527797588,1,"{""reach"": 1}"
10774,SFPQ,DecreaseAmount,6018,IL6,6677618086272289,1,"{""reach"": 1}"
31486,MIRLET7I,IncreaseAmount,6001,IL2,17283834863384,2,"{""medscan"": 2}"
4983,HMGB1,DecreaseAmount,6001,IL2,-21243913017514041,2,"{""reach"": 2}"
