source_hgnc_id,source_hgnc_symbol,source_uniprot_id,relation,target_hgnc_id,target_hgnc_symbol,target_uniprot_id,stmt_hash,evidence_count,source_counts
1917,CHD2,O14647,IncreaseAmount,4765,H3-3B,P84243,-4911011255503857,1,"{""signor"": 1}"
1917,CHD2,O14647,DecreaseAmount,11571,TARDBP,Q13148,26215744501247434,1,"{""bel"": 1}"
1917,CHD2,O14647,IncreaseAmount,10409,RPS21,P63220,-8674114718639747,1,"{""reach"": 1}"
1917,CHD2,O14647,IncreaseAmount,10333,RPL30,P62888,-9003542109754116,1,"{""reach"": 1}"
3819,FOXO1,Q12778,DecreaseAmount,6950,MCM7,P33993,28206209900169426,1,"{""biopax"": 1}"
3819,FOXO1,Q12778,DecreaseAmount,574,AP4M1,O00189,-11994250383431845,1,"{""biopax"": 1}"
3819,FOXO1,Q12778,IncreaseAmount,4983,HMGB1,P09429,32136287310334541,1,"{""reach"": 1}"
3819,FOXO1,Q12778,DecreaseAmount,1917,CHD2,O14647,-9018144306879595,1,"{""biopax"": 1}"
5172,HR,O43593,DecreaseAmount,4983,HMGB1,P09429,32296042978293178,1,"{""reach"": 1}"
9245,PPFIA1,Q13136,IncreaseAmount,4983,HMGB1,P09429,334003795174031,1,"{""reach"": 1}"
11151,SNRPA,P09012,DecreaseAmount,4298,GLB1,P16278,24763689443239389,1,"{""reach"": 1}"
11151,SNRPA,P09012,DecreaseAmount,11164,SNRPN,P63162,-14461968688075101,1,"{""reach"": 1}"
14524,SPAG9,O60271,DecreaseAmount,4983,HMGB1,P09429,-34741077841619406,1,"{""reach"": 1}"
8576,PAFAH1B3,Q15102,IncreaseAmount,4983,HMGB1,P09429,-21012169810437698,1,"{""reach"": 1}"
3236,EGFR,P00533,DecreaseAmount,6950,MCM7,P33993,9568179195066727,1,"{""medscan"": 1}"
3236,EGFR,P00533,IncreaseAmount,29931,GNL3,Q9BVP2,19216702908024208,1,"{""reach"": 1}"
18618,LRRK2,Q5S007,IncreaseAmount,4983,HMGB1,P09429,-21802474836015602,1,"{""sparser"": 1}"
5013,HMOX1,P09601,DecreaseAmount,4983,HMGB1,P09429,-12811815902578078,12,"{""reach"": 12}"
5013,HMOX1,P09601,IncreaseAmount,4983,HMGB1,P09429,3405283847773700,4,"{""isi"": 1, ""reach"": 3}"
11579,TBCA,O75347,IncreaseAmount,4983,HMGB1,P09429,-22146580519893402,1,"{""reach"": 1}"
11579,TBCA,O75347,DecreaseAmount,4983,HMGB1,P09429,1726284719776416,1,"{""reach"": 1}"
6819,MALT1,Q9UDY8,IncreaseAmount,587,APEX1,P27695,20462717039982804,1,"{""reach"": 1}"
11362,STAT1,P42224,IncreaseAmount,4983,HMGB1,P09429,-34216937567929179,1,"{""reach"": 1}"
11362,STAT1,P42224,IncreaseAmount,4931,HLA-A,P04439,1176472917853830,2,"{""reach"": 2}"
1982,CIRBP,Q14011,IncreaseAmount,4983,HMGB1,P09429,2492637843627292,1,"{""reach"": 1}"
8044,NUCB2,P80303,IncreaseAmount,4983,HMGB1,P09429,33231681911010409,1,"{""reach"": 1}"
8044,NUCB2,P80303,DecreaseAmount,4983,HMGB1,P09429,2986456244508928,2,"{""reach"": 2}"
16171,CHMP4B,Q9H444,IncreaseAmount,4983,HMGB1,P09429,27668483312132911,1,"{""reach"": 1}"
1455,CALR,P27797,DecreaseAmount,4931,HLA-A,P04439,11447866141660373,1,"{""medscan"": 1}"
8729,PCNA,P12004,IncreaseAmount,4983,HMGB1,P09429,13140327746841054,1,"{""reach"": 1}"
361,AK1,P00568,IncreaseAmount,4983,HMGB1,P09429,6887078139087789,1,"{""reach"": 1}"
9437,EIF2AK2,P19525,DecreaseAmount,4983,HMGB1,P09429,-12910477784668224,1,"{""reach"": 1}"
9437,EIF2AK2,P19525,IncreaseAmount,4983,HMGB1,P09429,24515391999991773,9,"{""reach"": 9}"
2231,COPB1,P53618,DecreaseAmount,4931,HLA-A,P04439,-27386755776245878,1,"{""medscan"": 1}"
11204,SOX9,P48436,DecreaseAmount,9847,RANBP1,P43487,-28764955450199815,1,"{""biopax"": 1}"
11204,SOX9,P48436,DecreaseAmount,4983,HMGB1,P09429,-34730603695273119,2,"{""biopax"": 2}"
42398,C4B_2,P0C0L5,DecreaseAmount,4983,HMGB1,P09429,28203909909529915,1,"{""reach"": 1}"
9801,RAC1,P63000,IncreaseAmount,4983,HMGB1,P09429,-23538150223927758,1,"{""reach"": 1}"
11571,TARDBP,Q13148,IncreaseAmount,9847,RANBP1,P43487,-11961168643813403,1,"{""reach"": 1}"
93,ACAT1,P24752,DecreaseAmount,4983,HMGB1,P09429,-30456302546566022,1,"{""reach"": 1}"
2690,DBI,P07108,IncreaseAmount,4983,HMGB1,P09429,-30914242107737237,3,"{""reach"": 3}"
2690,DBI,P07108,DecreaseAmount,4983,HMGB1,P09429,23884765191772526,46,"{""reach"": 46}"
