Protein,Replicate,Feature,Intensity
E,0,0,14.528144169413931
E,0,1,14.777195620031828
E,0,2,16.002276352527893
E,0,3,15.275023499872578
E,0,4,16.22399945275618
E,0,5,14.143999009060375
E,0,6,14.945568525236286
E,0,7,15.68899415979651
E,0,8,16.062015394363858
E,0,9,14.650156081830941
E,0,10,14.616433808155268
E,0,11,13.757289245722797
E,0,12,16.862595281932144
E,0,13,13.683538511505729
E,0,14,15.014292299632897
E,0,15,14.291378792816289
E,0,16,15.578823939788087
E,0,17,17.494349049782183
E,0,18,15.255694651109618
E,1,0,14.436398700042702
E,1,1,14.685450150660596
E,1,2,15.910530883156662
E,1,3,15.183278030501347
E,1,4,16.13225398338495
E,1,5,14.052253539689143
E,1,6,14.853823055865055
E,1,7,15.597248690425278
E,1,8,15.970269924992625
E,1,9,14.55841061245971
E,1,10,14.524688338784037
E,1,11,13.665543776351566
E,1,12,16.77084981256091
E,1,13,13.591793042134498
E,1,14,14.922546830261666
E,1,15,14.199633323445056
E,1,16,15.487078470416856
E,1,17,17.402603580410954
E,1,18,15.163949181738388
E,2,0,15.40257472024992
E,2,1,15.651626170867814
E,2,2,16.87670690336388
E,2,3,16.149454050708563
E,2,4,17.098430003592167
E,2,5,15.018429559896362
E,2,6,15.819999076072273
E,2,7,16.563424710632496
E,2,8,16.936445945199843
E,2,9,15.524586632666928
E,2,10,15.490864358991255
E,2,11,14.631719796558784
E,2,12,17.737025832768133
E,2,13,14.557969062341716
E,2,14,15.888722850468884
E,2,15,15.165809343652274
E,2,16,16.453254490624076
E,2,17,18.368779600618172
E,2,18,16.130125201945607
E,3,0,13.987755991231463
E,3,1,14.236807441849358
E,3,2,15.461888174345424
E,3,3,14.734635321690108
E,3,4,15.683611274573709
E,3,5,13.603610830877905
E,3,6,14.405180347053816
E,3,7,15.14860598161404
E,3,8,15.521627216181386
E,3,9,14.109767903648471
E,3,10,14.076045629972798
E,3,11,13.216901067540327
E,3,12,16.322207103749676
E,3,13,13.143150333323259
E,3,14,14.473904121450428
E,3,15,13.750990614633817
E,3,16,15.038435761605617
E,3,17,16.953960871599715
E,3,18,14.71530647292715
E,4,0,14.419241214515647
E,4,1,14.668292665133544
E,4,2,15.89337339762961
E,4,3,15.166120544974294
E,4,4,16.115096497857895
E,4,5,14.035096054162091
E,4,6,14.836665570338003
E,4,7,15.580091204898226
E,4,8,15.953112439465574
E,4,9,14.541253126932657
E,4,10,14.507530853256984
E,4,11,13.648386290824513
E,4,12,16.75369232703386
E,4,13,13.574635556607445
E,4,14,14.905389344734614
E,4,15,14.182475837918005
E,4,16,15.469920984889804
E,4,17,17.3854460948839
E,4,18,15.146791696211334
E,5,0,13.447437770580475
E,5,1,13.69648922119837
E,5,2,14.921569953694435
E,5,3,14.19431710103912
E,5,4,15.14329305392272
E,5,5,13.063292610226917
E,5,6,13.864862126402828
E,5,7,14.608287760963051
E,5,8,14.981308995530398
E,5,9,13.569449682997483
E,5,10,13.53572740932181
E,5,11,12.676582846889339
E,5,12,15.781888883098686
E,5,13,12.60283211267227
E,5,14,13.93358590079944
E,5,15,13.21067239398283
E,5,16,14.49811754095463
E,5,17,16.413642650948727
E,5,18,14.174988252276162
E,6,0,12.032904846975796
E,6,1,12.281956297593693
E,6,2,13.507037030089759
E,6,3,12.779784177434443
E,6,4,13.728760130318044
E,6,5,11.64875968662224
E,6,6,12.450329202798152
E,6,7,13.193754837358375
E,6,8,13.566776071925723
E,6,9,12.154916759392806
E,6,10,12.121194485717133
E,6,11,11.262049923284662
E,6,12,14.36735595949401
E,6,13,11.188299189067594
E,6,14,12.519052977194763
E,6,15,11.796139470378154
E,6,16,13.083584617349953
E,6,17,14.999109727344049
E,6,18,12.760455328671483
E,7,0,14.70279064710384
E,7,1,14.951842097721736
E,7,2,16.1769228302178
E,7,3,15.449669977562486
E,7,4,16.398645930446087
E,7,5,14.318645486750283
E,7,6,15.120215002926194
E,7,7,15.863640637486418
E,7,8,16.236661872053766
E,7,9,14.82480255952085
E,7,10,14.791080285845176
E,7,11,13.931935723412705
E,7,12,17.037241759622052
E,7,13,13.858184989195637
E,7,14,15.188938777322806
E,7,15,14.466025270506197
E,7,16,15.753470417477995
E,7,17,17.66899552747209
E,7,18,15.430341128799526
E,8,0,14.878321567501477
E,8,1,15.127373018119371
E,8,2,16.352453750615435
E,8,3,15.625200897960122
E,8,4,16.574176850843724
E,8,5,14.494176407147918
E,8,6,15.29574592332383
E,8,7,16.039171557884053
E,8,8,16.4121927924514
E,8,9,15.000333479918485
E,8,10,14.966611206242812
E,8,11,14.10746664381034
E,8,12,17.21277268001969
E,8,13,14.033715909593273
E,8,14,15.364469697720441
E,8,15,14.641556190903831
E,8,16,15.929001337875631
E,8,17,17.84452644786973
E,8,18,15.605872049197163
E,9,0,13.540633508459134
E,9,1,13.789684959077029
E,9,2,15.014765691573094
E,9,3,14.28751283891778
E,9,4,15.23648879180138
E,9,5,13.156488348105576
E,9,6,13.958057864281487
E,9,7,14.70148349884171
E,9,8,15.074504733409057
E,9,9,13.662645420876142
E,9,10,13.628923147200469
E,9,11,12.769778584767998
E,9,12,15.875084620977345
E,9,13,12.69602785055093
E,9,14,14.026781638678099
E,9,15,13.303868131861488
E,9,16,14.591313278833288
E,9,17,16.506838388827386
E,9,18,14.26818399015482
E,10,0,16.048417577577307
E,10,1,16.297469028195202
E,10,2,17.522549760691266
E,10,3,16.79529690803595
E,10,4,17.744272860919555
E,10,5,15.66427241722375
E,10,6,16.465841933399663
E,10,7,17.209267567959884
E,10,8,17.58228880252723
E,10,9,16.170429489994316
E,10,10,16.13670721631864
E,10,11,15.277562653886172
E,10,12,18.38286869009552
E,10,13,15.203811919669104
E,10,14,16.534565707796272
E,10,15,15.811652200979662
E,10,16,17.099097347951464
E,10,17,19.01462245794556
E,10,18,16.775968059272994
E,11,0,12.94764110976638
E,11,1,13.196692560384276
E,11,2,14.421773292880342
E,11,3,13.694520440225027
E,11,4,14.643496393108627
E,11,5,12.563495949412824
E,11,6,13.365065465588735
E,11,7,14.108491100148958
E,11,8,14.481512334716307
E,11,9,13.06965302218339
E,11,10,13.035930748507717
E,11,11,12.176786186075246
E,11,12,15.282092222284593
E,11,13,12.103035451858178
E,11,14,13.433789239985346
E,11,15,12.710875733168738
E,11,16,13.998320880140536
E,11,17,15.913845990134632
E,11,18,13.675191591462067
E,12,0,14.19667428272906
E,12,1,14.445725733346956
E,12,2,15.670806465843022
E,12,3,14.943553613187706
E,12,4,15.892529566071307
E,12,5,13.812529122375503
E,12,6,14.614098638551415
E,12,7,15.357524273111638
E,12,8,15.730545507678986
E,12,9,14.31868619514607
E,12,10,14.284963921470396
E,12,11,13.425819359037925
E,12,12,16.531125395247273
E,12,13,13.352068624820857
E,12,14,14.682822412948026
E,12,15,13.959908906131417
E,12,16,15.247354053103216
E,12,17,17.162879163097312
E,12,18,14.924224764424746
E,13,0,14.002721844823448
E,13,1,14.251773295441344
E,13,2,15.47685402793741
E,13,3,14.749601175282095
E,13,4,15.698577128165695
E,13,5,13.618576684469891
E,13,6,14.420146200645803
E,13,7,15.163571835206026
E,13,8,15.536593069773375
E,13,9,14.124733757240458
E,13,10,14.091011483564785
E,13,11,13.231866921132314
E,13,12,16.33717295734166
E,13,13,13.158116186915246
E,13,14,14.488869975042414
E,13,15,13.765956468225806
E,13,16,15.053401615197604
E,13,17,16.9689267251917
E,13,18,14.730272326519135
E,14,0,15.434797225839258
E,14,1,15.683848676457153
E,14,2,16.908929408953217
E,14,3,16.1816765562979
E,14,4,17.130652509181505
E,14,5,15.0506520654857
E,14,6,15.852221581661611
E,14,7,16.595647216221835
E,14,8,16.96866845078918
E,14,9,15.556809138256266
E,14,10,15.523086864580593
E,14,11,14.663942302148122
E,14,12,17.76924833835747
E,14,13,14.590191567931054
E,14,14,15.920945356058223
E,14,15,15.198031849241612
E,14,16,16.485476996213414
E,14,17,18.40100210620751
E,14,18,16.162347707534945
E,15,0,15.38199210516991
E,15,1,15.631043555787805
E,15,2,16.85612428828387
E,15,3,16.128871435628554
E,15,4,17.077847388512158
E,15,5,14.997846944816352
E,15,6,15.799416460992264
E,15,7,16.542842095552487
E,15,8,16.915863330119834
E,15,9,15.504004017586919
E,15,10,15.470281743911245
E,15,11,14.611137181478774
E,15,12,17.716443217688123
E,15,13,14.537386447261706
E,15,14,15.868140235388875
E,15,15,15.145226728572265
E,15,16,16.432671875544067
E,15,17,18.348196985538163
E,15,18,16.109542586865597
E,16,0,14.287587134772846
E,16,1,14.53663858539074
E,16,2,15.761719317886806
E,16,3,15.03446646523149
E,16,4,15.983442418115091
E,16,5,13.903441974419287
E,16,6,14.705011490595199
E,16,7,15.448437125155422
E,16,8,15.821458359722769
E,16,9,14.409599047189854
E,16,10,14.37587677351418
E,16,11,13.51673221108171
E,16,12,16.62203824729106
E,16,13,13.442981476864642
E,16,14,14.77373526499181
E,16,15,14.0508217581752
E,16,16,15.338266905147
E,16,17,17.253792015141098
E,16,18,15.015137616468532
E,17,0,14.473440451784207
E,17,1,14.722491902402103
E,17,2,15.947572634898169
E,17,3,15.220319782242854
E,17,4,16.169295735126454
E,17,5,14.08929529143065
E,17,6,14.890864807606562
E,17,7,15.634290442166785
E,17,8,16.007311676734133
E,17,9,14.595452364201217
E,17,10,14.561730090525543
E,17,11,13.702585528093072
E,17,12,16.80789156430242
E,17,13,13.628834793876004
E,17,14,14.959588582003173
E,17,15,14.236675075186564
E,17,16,15.524120222158363
E,17,17,17.43964533215246
E,17,18,15.200990933479893
E,18,0,13.419386801049583
E,18,1,13.668438251667478
E,18,2,14.893518984163544
E,18,3,14.166266131508229
E,18,4,15.115242084391829
E,18,5,13.035241640696025
E,18,6,13.836811156871937
E,18,7,14.58023679143216
E,18,8,14.953258025999506
E,18,9,13.541398713466592
E,18,10,13.507676439790918
E,18,11,12.648531877358447
E,18,12,15.753837913567795
E,18,13,12.57478114314138
E,18,14,13.905534931268548
E,18,15,13.182621424451938
E,18,16,14.470066571423738
E,18,17,16.385591681417836
E,18,18,14.14693728274527
E,19,0,12.509324383686518
E,19,1,12.758375834304415
E,19,2,13.98345656680048
E,19,3,13.256203714145165
E,19,4,14.205179667028766
E,19,5,12.125179223332962
E,19,6,12.926748739508874
E,19,7,13.670174374069097
E,19,8,14.043195608636445
E,19,9,12.631336296103528
E,19,10,12.597614022427855
E,19,11,11.738469459995384
E,19,12,14.843775496204731
E,19,13,11.664718725778316
E,19,14,12.995472513905485
E,19,15,12.272559007088876
E,19,16,13.560004154060675
E,19,17,15.47552926405477
E,19,18,13.236874865382205
E,20,0,13.868896273084836
E,20,1,14.11794772370273
E,20,2,15.343028456198796
E,20,3,14.615775603543481
E,20,4,15.564751556427082
E,20,5,13.484751112731278
E,20,6,14.28632062890719
E,20,7,15.029746263467413
E,20,8,15.402767498034759
E,20,9,13.990908185501844
E,20,10,13.957185911826171
E,20,11,13.0980413493937
E,20,12,16.203347385603045
E,20,13,13.024290615176632
E,20,14,14.3550444033038
E,20,15,13.63213089648719
E,20,16,14.91957604345899
E,20,17,16.83510115345309
E,20,18,14.596446754780523
E,21,0,14.28875408762796
E,21,1,14.537805538245857
E,21,2,15.762886270741923
E,21,3,15.035633418086608
E,21,4,15.984609370970208
E,21,5,13.904608927274404
E,21,6,14.706178443450316
E,21,7,15.44960407801054
E,21,8,15.822625312577888
E,21,9,14.41076600004497
E,21,10,14.377043726369298
E,21,11,13.517899163936827
E,21,12,16.623205200146174
E,21,13,13.444148429719759
E,21,14,14.774902217846927
E,21,15,14.051988711030319
E,21,16,15.339433858002117
E,21,17,17.254958967996213
E,21,18,15.016304569323648
E,22,0,15.182939269687612
E,22,1,15.431990720305507
E,22,2,16.65707145280157
E,22,3,15.929818600146257
E,22,4,16.87879455302986
E,22,5,14.798794109334054
E,22,6,15.600363625509965
E,22,7,16.34378926007019
E,22,8,16.716810494637535
E,22,9,15.30495118210462
E,22,10,15.271228908428947
E,22,11,14.412084345996476
E,22,12,17.517390382205825
E,22,13,14.338333611779408
E,22,14,15.669087399906577
E,22,15,14.946173893089966
E,22,16,16.233619040061768
E,22,17,18.149144150055864
E,22,18,15.910489751383299
E,23,0,15.159700157105856
E,23,1,15.408751607723751
E,23,2,16.633832340219815
E,23,3,15.906579487564501
E,23,4,16.855555440448104
E,23,5,14.775554996752298
E,23,6,15.57712451292821
E,23,7,16.320550147488433
E,23,8,16.69357138205578
E,23,9,15.281712069522865
E,23,10,15.247989795847191
E,23,11,14.38884523341472
E,23,12,17.49415126962407
E,23,13,14.315094499197652
E,23,14,15.64584828732482
E,23,15,14.92293478050821
E,23,16,16.210379927480012
E,23,17,18.12590503747411
E,23,18,15.887250638801543
E,24,0,13.836078838234243
E,24,1,14.085130288852138
E,24,2,15.310211021348204
E,24,3,14.582958168692889
E,24,4,15.531934121576489
E,24,5,13.451933677880685
E,24,6,14.253503194056597
E,24,7,14.99692882861682
E,24,8,15.369950063184167
E,24,9,13.958090750651252
E,24,10,13.924368476975578
E,24,11,13.065223914543107
E,24,12,16.170529950752453
E,24,13,12.99147318032604
E,24,14,14.322226968453208
E,24,15,13.599313461636598
E,24,16,14.886758608608398
E,24,17,16.802283718602496
E,24,18,14.56362931992993
E,25,0,13.906871563628275
E,25,1,14.15592301424617
E,25,2,15.381003746742236
E,25,3,14.65375089408692
E,25,4,15.602726846970521
E,25,5,13.522726403274717
E,25,6,14.324295919450629
E,25,7,15.067721554010852
E,25,8,15.440742788578198
E,25,9,14.028883476045284
E,25,10,13.99516120236961
E,25,11,13.13601663993714
E,25,12,16.24132267614649
E,25,13,13.062265905720071
E,25,14,14.39301969384724
E,25,15,13.67010618703063
E,25,16,14.95755133400243
E,25,17,16.873076443996528
E,25,18,14.634422045323962
E,26,0,13.285528825298034
E,26,1,13.534580275915928
E,26,2,14.759661008411994
E,26,3,14.032408155756679
E,26,4,14.98138410864028
E,26,5,12.901383664944476
E,26,6,13.702953181120387
E,26,7,14.44637881568061
E,26,8,14.819400050247957
E,26,9,13.407540737715042
E,26,10,13.373818464039369
E,26,11,12.514673901606898
E,26,12,15.619979937816245
E,26,13,12.44092316738983
E,26,14,13.771676955516998
E,26,15,13.048763448700388
E,26,16,14.336208595672188
E,26,17,16.251733705666286
E,26,18,14.01307930699372
E,27,0,12.976239717591767
E,27,1,13.225291168209663
E,27,2,14.45037190070573
E,27,3,13.723119048050414
E,27,4,14.672095000934014
E,27,5,12.59209455723821
E,27,6,13.393664073414122
E,27,7,14.137089707974345
E,27,8,14.510110942541694
E,27,9,13.098251630008777
E,27,10,13.064529356333104
E,27,11,12.205384793900633
E,27,12,15.31069083010998
E,27,13,12.131634059683565
E,27,14,13.462387847810733
E,27,15,12.739474340994125
E,27,16,14.026919487965923
E,27,17,15.94244459796002
E,27,18,13.703790199287454
E,28,0,12.73790041053978
E,28,1,12.986951861157674
E,28,2,14.21203259365374
E,28,3,13.484779740998425
E,28,4,14.433755693882025
E,28,5,12.353755250186222
E,28,6,13.155324766362133
E,28,7,13.898750400922356
E,28,8,14.271771635489703
E,28,9,12.859912322956788
E,28,10,12.826190049281115
E,28,11,11.967045486848644
E,28,12,15.072351523057991
E,28,13,11.893294752631576
E,28,14,13.224048540758744
E,28,15,12.501135033942134
